32
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,DAMAGE
2,2,RANGE
3,5,DAMAGE
4,0.1,DAMAGE
5,0.05,FROST_DAMAGE
6,0.05,DAMAGE
7,0.05,DAMAGE
8,0.05,DAMAGE
9,0.05,FROST_DAMAGE
10,0.02,DAMAGE
11,0.05,DAMAGE
12,0.02,DAMAGE
13,0.05,DAMAGE
14,0.05,DAMAGE
15,0.05,FROST_DAMAGE
16,0.02,DAMAGE
17,0.05,DAMAGE
18,0.02,DAMAGE
19,0.05,FROST_DAMAGE
20,0.02,DAMAGE
21,0.3,CRITICAL_HIT_DAMAGE
22,0.1,DAMAGE
23,0.02,DAMAGE
24,0.02,DAMAGE
25,0.05,FROST_DAMAGE
26,0.1,DAMAGE
27,1,RANGE
28,0.05,DAMAGE
29,0.02,DAMAGE
30,0.1,DAMAGE
31,0.05,FROST_DAMAGE
32,0.1,DAMAGE
