30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,HIT_POINT
2,5,HIT_POINT
3,0.05,HIT_POINT
4,5,HIT_POINT
5,0.05,HIT_POINT
6,5,HIT_POINT
7,5,HIT_POINT
8,0.05,HIT_POINT
9,5,HIT_POINT
10,0.05,HIT_POINT
11,5,HIT_POINT
12,5,HIT_POINT
13,5,HIT_POINT
14,0.05,HIT_POINT
15,5,HIT_POINT
16,5,HIT_POINT
17,5,HIT_POINT
18,0.05,HIT_POINT
19,5,HIT_POINT
20,5,HIT_POINT
21,5,HIT_POINT
22,5,HIT_POINT
23,5,HIT_POINT
24,5,HIT_POINT
25,5,HIT_POINT
26,0.05,HIT_POINT
27,5,HIT_POINT
28,0.05,HIT_POINT
29,0.05,HIT_POINT
30,0.05,HIT_POINT
