33
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,PROJECTILE_SPEED
2,0.05,DAMAGE
3,0.05,DURATION
4,0.05,DAMAGE
5,0.05,PROJECTILE_SPEED
6,0.05,DURATION
7,0.05,DAMAGE
8,0.05,DURATION
9,0.05,DAMAGE
10,0.05,PROJECTILE_SPEED
11,0.05,DAMAGE
12,0.05,HEALING_REDUCTION
13,0.05,DURATION
14,0.05,DAMAGE
15,0.05,PROJECTILE_SPEED
16,1,RANGE
17,0.05,HEALING_REDUCTION
18,0.05,DURATION
19,0.05,DAMAGE
20,0.05,DAMAGE
21,0.05,HEALING_REDUCTION
22,0.05,DAMAGE
23,0.05,DURATION
24,0.05,PROJECTILE_SPEED
25,0.05,HEALING_REDUCTION
26,2,RANGE
27,0.05,DAMAGE
28,0.05,HEALING_REDUCTION
29,0.05,DURATION
30,0.05,PROJECTILE_SPEED
31,0.02,DAMAGE
32,0.05,HEALING_REDUCTION
33,0.05,DAMAGE
