28
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,DAMAGE
2,2,RANGE
3,0.05,FROST_DAMAGE
4,5,DAMAGE
5,0.05,FROST_DAMAGE
6,0.05,DAMAGE
7,0.05,DAMAGE
8,0.02,DAMAGE
9,0.05,PROJECTILE_SPEED
10,0.1,DAMAGE
11,0.05,FROST_DAMAGE
12,0.05,DAMAGE
13,0.02,DAMAGE
14,0.05,DAMAGE
15,0.05,FROST_DAMAGE
16,0.05,DAMAGE
17,0.03,CRITICAL_HIT_DAMAGE
18,0.02,DAMAGE
19,0.05,DAMAGE
20,0.02,DAMAGE
21,0.05,FROST_DAMAGE
22,0.02,DAMAGE
23,1,RANGE
24,0.05,DAMAGE
25,0.05,PROJECILE_SPEED
26,0.05,PROJECTILE_SPEED
27,0.05,FROST_DAMAGE
28,0.05,DAMAGE
