32
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,DAMAGE
2,1,RANGE
3,0.05,FIRE_DAMAGE
4,0.1,COOL_DOWN
5,10,DAMAGE
6,0.1,PROJECTILE_SPEED
7,0.2,DAMAGE
8,0.05,RANGE
9,0.05,DAMAGE
10,2,RANGE
11,0.05,DAMAGE
12,0.05,FIRE_DAMAGE
13,0.05,DAMAGE
14,0.1,COOL_DOWN
15,0.1,PROJECTILE_SPEED
16,0.05,FIRE_DAMAGE
17,0.03,DAMAGE
18,0.03,DAMAGE
19,0.1,PROJECTILE_SPEED
20,0.15,DAMAGE
21,0.05,FIRE_DAMAGE
22,0.02,DAMAGE
23,0.05,RANGE
24,0.1,COOL_DOWN
25,0.03,DAMAGE
26,0.1,PROJECTILE_SPEED
27,0.02,DAMAGE
28,0.02,DAMAGE
29,0.05,FIRE_DAMAGE
30,0.02,DAMAGE
31,0.02,DAMAGE
32,0.05,DAMAGE
