33
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,DAMAGE
2,1,RANGE
3,0.05,DAMAGE
4,0.02,DAMAGE
5,0.05,DAMAGE
6,1,RANGE
7,0.05,DAMAGE
8,0.02,DAMAGE
9,0.05,DAMAGE
10,0.3,FROST_EFFECT
11,0.02,DAMAGE
12,1,RANGE
13,0.05,DAMAGE
14,0.3,TURET_ROTATION
15,0.02,DAMAGE
16,0.05,DAMAGE
17,0.2,FROST_EFFECT
18,1,RANGE
19,0.05,DAMAGE
20,0.05,DAMAGE
21,0.02,DAMAGE
22,0.02,DAMAGE
23,0.05,TURET_ROTATION
24,0.05,DAMAGE
25,0.2,FROST_EFFECT
26,1,RANGE
27,0.05,DAMAGE
28,0.05,TURET_ROTATION
29,0.05,DAMAGE
30,1,RANGE
31,1,RANGE
32,0.02,DAMAGE
33,0.1,TURET_ROTATION
