30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,DAMAGE
2,0.05,FIRE_DAMAGE
3,3,RANGE
4,0.1,PROJECTILE_SPEED
5,0.05,DAMAGE
6,0.05,DAMAGE
7,10,DAMAGE
8,0.05,DAMAGE
9,0.05,DAMAGE
10,0.05,FIRE_DAMAGE
11,0.05,DAMAGE
12,0.05,DAMAGE
13,0.05,DAMAGE
14,0.1,PROJECTILE_SPEED
15,0.1,DAMAGE
16,0.05,FIRE_DAMAGE
17,0.05,RANGE
18,0.05,DAMAGE
19,0.05,FIRE_DAMAGE
20,0.1,DAMAGE
21,0.1,PROJECTILE_SPEED
22,0.05,DAMAGE
23,0.05,RANGE
24,0.05,DAMAGE
25,0.05,DAMAGE
26,0.05,FIRE_DAMAGE
27,0.05,DAMAGE
28,0.1,PROJECTILE_SPEED
29,0.05,DAMAGE
30,0.05,DAMAGE
