33
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,PROJECTILE_SPEED
2,5,DAMAGE
3,5,DURATION
4,5,DAMAGE
5,5,PROJECTILE_SPEED
6,5,DURATION
7,5,DAMAGE
8,5,DURATION
9,5,DAMAGE
10,5,PROJECTILE_SPEED
11,5,DAMAGE
12,5,HEALING_REDUCTION
13,5,DURATION
14,5,DAMAGE
15,5,PROJECTILE_SPEED
16,1,RANGE
17,5,HEALING_REDUCTION
18,5,DURATION
19,5,DAMAGE
20,5,DAMAGE
21,5,HEALING_REDUCTION
22,5,DAMAGE
23,5,DURATION
24,5,PROJECTILE_SPEED
25,5,HEALING_REDUCTION
26,2,RANGE
27,5,DAMAGE
28,5,HEALING_REDUCTION
29,5,DURATION
30,5,PROJECTILE_SPEED
31,2,DAMAGE
32,5,HEALING_REDUCTION
33,5,DAMAGE
