30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,5,DAMAGE
2,1,RANGE
3,5,DAMAGE
4,0.2,CRITICAL_HIT_DAMAGE
5,0.05,DAMAGE
6,0.05,DAMAGE
7,0.05,DAMAGE
8,1,RANGE
9,0.05,DAMAGE
10,0.05,DAMAGE
11,0.02,DAMAGE
12,0.1,CRITICAL_HIT_CHANCE
13,0.05,DAMAGE
14,0.02,DAMAGE
15,0.2,CRITICAL_HIT_DAMAGE
16,2,RANGE
17,0.05,DAMAGE
18,0.1,CRITICAL_HIT_CHANCE
19,0.05,DAMAGE
20,0.05,DAMAGE
21,0.05,DAMAGE
22,0.2,CRITICAL_HIT_DAMAGE
23,0.02,DAMAGE
24,2,RANGE
25,0.02,DAMAGE
26,0.2,CRITICAL_HIT_DAMAGE
27,0.02,DAMAGE
28,0.1,CRITICAL_HIT_CHANCE
29,0.1,DAMAGE
30,0.2,CRITICAL_HIT_DAMAGE
