29
LEVEL,BOOST_VALUE,BOOST_TYPE
1,10,CRITICAL_HIT_CHANCE
2,5,HEALING
3,5,COOL_DOWN
4,1,RANGE
5,5,HEALING
6,10,CRITICAL_HIT_CHANCE
7,1,RANGE
8,5,HEALING
9,10,CRITICAL_HIT_CHANCE
10,5,CRITICAL_HIT_CHANCE
11,5,HEALING
12,1,RANGE
13,5,COOL_DOWN
14,10,CRITICAL_HIT_CHANCE
15,5,CRITICAL_HIT_CHANCE
16,5,HEALING
17,10,CRITICAL_HIT_CHANCE
18,10,CRITICAL_HIT_CHANCE
19,1,RANGE
20,5,HEALING
21,5,HEALING
22,10,CRITICAL_HIT_CHANCE
23,5,COOL_DOWN
24,10,CRITICAL_HIT_CHANCE
25,5,CRITICAL_HIT_CHANCE
26,5,HEALING
27,1,RANGE
28,10,CRITICAL_HIT_CHANCE
29,10,CRITICAL_HIT_CHANCE
