30
LEVEL;BOOST_VALUE;BOOST_TYPE
1;5;DAMAGE
2;5;FIRE_DAMAGE
3;3;RANGE
4;10;DAMAGE
5;10;PROJECTILE_SPEED
6;5;DAMAGE
7;5;DAMAGE
8;5;CRITICAL_HIT_CHANCE
9;5;DAMAGE
10;5;DAMAGE
11;5;FIRE_DAMAGE
12;5;CRITICAL_HIT_CHANCE
13;3;RANGE
14;25;CRITICAL_HIT_DAMAGE
15;10;PROJECTILE_SPEED
16;25;CRITICAL_HIT_DAMAGE
17;5;FIRE_DAMAGE
18;3;RANGE
19;2;DAMAGE
20;5;FIRE_DAMAGE
21;2;DAMAGE
22;10;PROJECTILE_SPEED
23;10;DAMAGE
24;5;RANGE
25;10;DAMAGE
26;5;DAMAGE
27;5;FIRE_DAMAGE
28;5;DAMAGE
29;10;PROJECTILE_SPEED
30;5;DAMAGE
