31
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,COOL_DOWN
2,0.05,DAMAGE
3,0.05,COOL_DOWN
4,0.2,PROJECTILE_SPEED
5,0.1,FROST_DAMAGE
6,25,DAMAGE
7,0.05,DAMAGE
8,25,DAMAGE
9,0.2,PROJECTILE_SPEED
10,25,DAMAGE
11,25,DAMAGE
12,0.05,DAMAGE
13,0.1,FROST_DAMAGE
14,0.02,DAMAGE
15,0.1,PROJECTILE_SPEED
16,0.05,DAMAGE
17,0.02,DAMAGE
18,0.05,DAMAGE
19,0.05,DAMAGE
20,0.1,PROJECTILE_SPEED
21,0.02,DAMAGE
22,0.1,DAMAGE
23,0.02,DAMAGE
24,0.05,DAMAGE
25,0.05,DAMAGE
26,0.1,PROJECTILE_SPEED
27,0.1,FROST_DAMAGE
28,0.1,PROJECTILE_SPEED
29,0.02,DAMAGE
30,0.2,PROJECTILE_SPEED
31,0.02,DAMAGE
