30
LEVEL,BOOST_VALUE,BOOST_TYPE
1,0.05,COOL_DOWN
2,0.05,DAMAGE
3,0.05,COOL_DOWN
4,0.1,FROST_DAMAGE
5,25,DAMAGE
6,0.05,DAMAGE
7,25,DAMAGE
8,0.1,PROJECTILE_SPEED
9,25,DAMAGE
10,25,DAMAGE
11,0.05,DAMAGE
12,0.1,FROST_DAMAGE
13,0.02,DAMAGE
14,0.05,DAMAGE
15,0.05,DAMAGE
16,0.02,DAMAGE
17,0.05,DAMAGE
18,0.05,DAMAGE
19,0.1,PROJECTILE_SPEED
20,0.02,DAMAGE
21,0.1,DAMAGE
22,0.05,DAMAGE
23,0.02,DAMAGE
24,0.1,DAMAGE
25,0.05,DAMAGE
26,0.1,FROST_DAMAGE
27,0.02,DAMAGE
28,0.05,DAMAGE
29,0.1,PROJECTILE_SPEED
30,0.02,DAMAGE
