1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;38;0;0;0;0;0;0;0;0
2;38;0;0;0;0;0;0;0;0
3;39;0;0;0;0;0;0;0;0
4;39;0;0;0;0;0;0;0;0
5;39;0;0;0;0;0;0;0;0
6;40;0;0;0;0;0;0;0;0
7;40;0;0;0;0;0;0;0;0
8;40;0;0;0;0;0;0;0;0
9;41;0;0;0;0;0;0;0;0
10;41;0;0;0;0;0;0;0;0
11;41;0;0;0;0;0;0;0;0
12;41;0;0;0;0;0;0;0;0
13;42;0;0;0;0;0;0;0;0
14;42;0;0;0;0;0;0;0;0
15;42;0;0;0;0;0;0;0;0
16;43;0;0;0;0;0;0;0;0
17;43;0;0;0;0;0;0;0;0
18;43;0;0;0;0;0;0;0;0
19;44;0;0;0;0;0;0;0;0
20;44;0;0;0;0;0;0;0;0
21;44;0;0;0;0;0;0;0;0
22;44;0;0;0;0;0;0;0;0
23;45;0;0;0;0;0;0;0;0
24;45;0;0;0;0;0;0;0;0
25;46;0;0;0;0;0;0;0;0
26;46;0;0;0;0;0;0;0;0
27;47;0;0;0;0;0;0;0;0
28;47;0;0;0;0;0;0;0;0
29;48;0;0;0;0;0;0;0;0
30;48;0;0;0;0;0;0;0;0
31;48;0;0;0;0;0;0;0;0
32;48;0;0;0;0;0;0;0;0
33;49;0;0;0;0;0;0;0;0
34;49;0;0;0;0;0;0;0;0
35;49;0;0;0;0;0;0;0;0
36;50;0;0;0;0;0;0;0;0
37;50;0;0;0;0;0;0;0;0
38;50;0;0;0;0;0;0;0;0
39;51;0;0;0;0;0;0;0;0
40;51;0;0;0;0;0;0;0;0
41;51;0;0;0;0;0;0;0;0
42;51;0;0;0;0;0;0;0;0
43;51;0;0;0;0;0;0;0;0
44;52;0;0;0;0;0;0;0;0
45;52;0;0;0;0;0;0;0;0
46;52;0;0;0;0;0;0;0;0
47;52;0;0;0;0;0;0;0;0
48;53;0;0;0;0;0;0;0;0
49;53;0;0;0;0;0;0;0;0
50;53;0;0;0;0;0;0;0;0
