LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;87;0;0;0;0;0;0;0;0
2;88;0;0;0;0;0;0;0;0
3;89;0;0;0;0;0;0;0;0
4;90;0;0;0;0;0;0;0;0
5;91;0;0;0;0;0;0;0;0
6;91;0;0;0;0;0;0;0;0
7;92;0;0;0;0;0;0;0;0
8;93;0;0;0;0;0;0;0;0
9;94;0;0;0;0;0;0;0;0
10;95;0;0;0;0;0;0;0;0
11;95;0;0;0;0;0;0;0;0
12;96;0;0;0;0;0;0;0;0
13;97;0;0;0;0;0;0;0;0
14;98;0;0;0;0;0;0;0;0
15;99;0;0;0;0;0;0;0;0
16;99;0;0;0;0;0;0;0;0
17;100;0;0;0;0;0;0;0;0
18;101;0;0;0;0;0;0;0;0
19;102;0;0;0;0;0;0;0;0
20;103;0;0;0;0;0;0;0;0
21;103;0;0;0;0;0;0;0;0
22;104;0;0;0;0;0;0;0;0
23;105;0;0;0;0;0;0;0;0
24;105;0;0;0;0;0;0;0;0
25;106;0;0;0;0;0;0;0;0
26;107;0;0;0;0;0;0;0;0
27;108;0;0;0;0;0;0;0;0
28;108;0;0;0;0;0;0;0;0
29;109;0;0;0;0;0;0;0;0
30;110;0;0;0;0;0;0;0;0
31;110;0;0;0;0;0;0;0;0
32;111;0;0;0;0;0;0;0;0
33;112;0;0;0;0;0;0;0;0
34;113;0;0;0;0;0;0;0;0
35;114;0;0;0;0;0;0;0;0
36;114;0;0;0;0;0;0;0;0
37;115;0;0;0;0;0;0;0;0
38;116;0;0;0;0;0;0;0;0
39;117;0;0;0;0;0;0;0;0
40;118;0;0;0;0;0;0;0;0
41;118;0;0;0;0;0;0;0;0
42;119;0;0;0;0;0;0;0;0
43;120;0;0;0;0;0;0;0;0
44;121;0;0;0;0;0;0;0;0
45;122;0;0;0;0;0;0;0;0
46;122;0;0;0;0;0;0;0;0
47;123;0;0;0;0;0;0;0;0
48;124;0;0;0;0;0;0;0;0
49;125;0;0;0;0;0;0;0;0
50;126;0;0;0;0;0;0;0;0
