LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;156;0;0;0;0;0;0;0;0
2;157;0;0;0;0;0;0;0;0
3;159;0;0;0;0;0;0;0;0
4;160;0;0;0;0;0;0;0;0
5;161;0;0;0;0;0;0;0;0
6;163;0;0;0;0;0;0;0;0
7;164;0;0;0;0;0;0;0;0
8;165;0;0;0;0;0;0;0;0
9;167;0;0;0;0;0;0;0;0
10;168;0;0;0;0;0;0;0;0
11;170;0;0;0;0;0;0;0;0
12;171;0;0;0;0;0;0;0;0
13;173;0;0;0;0;0;0;0;0
14;174;0;0;0;0;0;0;0;0
15;175;0;0;0;0;0;0;0;0
16;177;0;0;0;0;0;0;0;0
17;178;0;0;0;0;0;0;0;0
18;179;0;0;0;0;0;0;0;0
19;181;0;0;0;0;0;0;0;0
20;182;0;0;0;0;0;0;0;0
21;183;0;0;0;0;0;0;0;0
22;184;0;0;0;0;0;0;0;0
23;186;0;0;0;0;0;0;0;0
24;187;0;0;0;0;0;0;0;0
25;189;0;0;0;0;0;0;0;0
26;190;0;0;0;0;0;0;0;0
27;192;0;0;0;0;0;0;0;0
28;193;0;0;0;0;0;0;0;0
29;195;0;0;0;0;0;0;0;0
30;196;0;0;0;0;0;0;0;0
31;197;0;0;0;0;0;0;0;0
32;198;0;0;0;0;0;0;0;0
33;200;0;0;0;0;0;0;0;0
34;201;0;0;0;0;0;0;0;0
35;202;0;0;0;0;0;0;0;0
36;204;0;0;0;0;0;0;0;0
37;205;0;0;0;0;0;0;0;0
38;206;0;0;0;0;0;0;0;0
39;208;0;0;0;0;0;0;0;0
40;209;0;0;0;0;0;0;0;0
41;210;0;0;0;0;0;0;0;0
42;212;0;0;0;0;0;0;0;0
43;213;0;0;0;0;0;0;0;0
44;215;0;0;0;0;0;0;0;0
45;217;0;0;0;0;0;0;0;0
46;218;0;0;0;0;0;0;0;0
47;220;0;0;0;0;0;0;0;0
48;222;0;0;0;0;0;0;0;0
49;223;0;0;0;0;0;0;0;0
50;225;0;0;0;0;0;0;0;0
