2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;76;0;0;0;0;0;0;0;0
2;78;0;0;0;0;0;0;0;0
3;79;0;0;0;0;0;0;0;0
4;81;0;0;0;0;0;0;0;0
5;83;0;0;0;0;0;0;0;0
6;84;0;0;0;0;0;0;0;0
7;86;0;0;0;0;0;0;0;0
8;88;0;0;0;0;0;0;0;0
9;89;0;0;0;0;0;0;0;0
10;91;0;0;0;0;0;0;0;0
11;92;0;0;0;0;0;0;0;0
12;94;0;0;0;0;0;0;0;0
13;95;0;0;0;0;0;0;0;0
14;97;0;0;0;0;0;0;0;0
15;99;0;0;0;0;0;0;0;0
16;100;0;0;0;0;0;0;0;0
17;102;0;0;0;0;0;0;0;0
18;104;0;0;0;0;0;0;0;0
19;105;0;0;0;0;0;0;0;0
20;107;0;0;0;0;0;0;0;0
21;108;0;0;0;0;0;0;0;0
22;110;0;0;0;0;0;0;0;0
23;111;0;0;0;0;0;0;0;0
24;113;0;0;0;0;0;0;0;0
25;114;0;0;0;0;0;0;0;0
26;116;0;0;0;0;0;0;0;0
27;117;0;0;0;0;0;0;0;0
28;119;0;0;0;0;0;0;0;0
29;120;0;0;0;0;0;0;0;0
30;122;0;0;0;0;0;0;0;0
31;123;0;0;0;0;0;0;0;0
32;125;0;0;0;0;0;0;0;0
33;126;0;0;0;0;0;0;0;0
34;128;0;0;0;0;0;0;0;0
35;130;0;0;0;0;0;0;0;0
36;131;0;0;0;0;0;0;0;0
37;133;0;0;0;0;0;0;0;0
38;135;0;0;0;0;0;0;0;0
39;136;0;0;0;0;0;0;0;0
40;138;0;0;0;0;0;0;0;0
41;139;0;0;0;0;0;0;0;0
42;141;0;0;0;0;0;0;0;0
43;143;0;0;0;0;0;0;0;0
44;144;0;0;0;0;0;0;0;0
45;146;0;0;0;0;0;0;0;0
46;148;0;0;0;0;0;0;0;0
47;150;0;0;0;0;0;0;0;0
48;151;0;0;0;0;0;0;0;0
49;153;0;0;0;0;0;0;0;0
50;155;0;0;0;0;0;0;0;0
