2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;72;0;0;0;0;0;0;0;0
2;73;0;0;0;0;0;0;0;0
3;74;0;0;0;0;0;0;0;0
4;75;0;0;0;0;0;0;0;0
5;76;0;0;0;0;0;0;0;0
6;77;0;0;0;0;0;0;0;0
7;78;0;0;0;0;0;0;0;0
8;79;0;0;0;0;0;0;0;0
9;80;0;0;0;0;0;0;0;0
10;81;0;0;0;0;0;0;0;0
11;82;0;0;0;0;0;0;0;0
12;83;0;0;0;0;0;0;0;0
13;84;0;0;0;0;0;0;0;0
14;85;0;0;0;0;0;0;0;0
15;86;0;0;0;0;0;0;0;0
16;88;0;0;0;0;0;0;0;0
17;89;0;0;0;0;0;0;0;0
18;90;0;0;0;0;0;0;0;0
19;91;0;0;0;0;0;0;0;0
20;92;0;0;0;0;0;0;0;0
21;93;0;0;0;0;0;0;0;0
22;94;0;0;0;0;0;0;0;0
23;95;0;0;0;0;0;0;0;0
24;96;0;0;0;0;0;0;0;0
25;97;0;0;0;0;0;0;0;0
26;98;0;0;0;0;0;0;0;0
27;99;0;0;0;0;0;0;0;0
28;100;0;0;0;0;0;0;0;0
29;101;0;0;0;0;0;0;0;0
30;102;0;0;0;0;0;0;0;0
31;103;0;0;0;0;0;0;0;0
32;104;0;0;0;0;0;0;0;0
33;105;0;0;0;0;0;0;0;0
34;106;0;0;0;0;0;0;0;0
35;107;0;0;0;0;0;0;0;0
36;109;0;0;0;0;0;0;0;0
37;110;0;0;0;0;0;0;0;0
38;111;0;0;0;0;0;0;0;0
39;112;0;0;0;0;0;0;0;0
40;113;0;0;0;0;0;0;0;0
41;114;0;0;0;0;0;0;0;0
42;115;0;0;0;0;0;0;0;0
43;117;0;0;0;0;0;0;0;0
44;118;0;0;0;0;0;0;0;0
45;119;0;0;0;0;0;0;0;0
46;121;0;0;0;0;0;0;0;0
47;122;0;0;0;0;0;0;0;0
48;123;0;0;0;0;0;0;0;0
49;125;0;0;0;0;0;0;0;0
50;126;0;0;0;0;0;0;0;0
