2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;475;15.6;25;0;0;3.3;0;1;0
2;479;15.6;25;0;0;3.3;0;1;0
3;483;15.6;25;0;0;3.3;0;1;0
4;487;15.6;25;0;0;3.3;0;1;0
5;491;15.6;25;0;0;3.3;0;1;0
6;494;15.6;25;0;0;3.3;0;1;0
7;498;15.6;25;0;0;3.3;0;1;0
8;502;15.6;25;0;0;3.3;0;1;0
9;506;15.6;25;0;0;3.3;0;1;0
10;510;15.6;25;0;0;3.3;0;1;0
11;513;15.6;25;0;0;3.3;0;1;0
12;517;15.6;25;0;0;3.3;0;1;0
13;521;15.6;25;0;0;3.3;0;1;0
14;525;15.6;25;0;0;3.3;0;1;0
15;529;15.6;25;0;0;3.3;0;1;0
16;532;15.6;25;0;0;3.3;0;1;0
17;536;15.6;25;0;0;3.3;0;1;0
18;540;15.6;25;0;0;3.3;0;1;0
19;544;15.6;25;0;0;3.3;0;1;0
20;548;15.6;25;0;0;3.3;0;1;0
21;551;15.6;25;0;0;3.3;0;1;0
22;555;15.6;25;0;0;3.3;0;1;0
23;559;15.6;25;0;0;3.3;0;1;0
24;563;15.6;25;0;0;3.3;0;1;0
25;567;15.6;25;0;0;3.3;0;1;0
26;570;15.6;25;0;0;3.3;0;1;0
27;574;15.6;25;0;0;3.3;0;1;0
28;578;15.6;25;0;0;3.3;0;1;0
29;582;15.6;25;0;0;3.3;0;1;0
30;586;15.6;25;0;0;3.3;0;1;0
31;589;15.6;25;0;0;3.3;0;1;0
32;593;15.6;25;0;0;3.3;0;1;0
33;597;15.6;25;0;0;3.3;0;1;0
34;601;15.6;25;0;0;3.3;0;1;0
35;605;15.6;25;0;0;3.3;0;1;0
36;608;15.6;25;0;0;3.3;0;1;0
37;612;15.6;25;0;0;3.3;0;1;0
38;616;15.6;25;0;0;3.3;0;1;0
39;620;15.6;25;0;0;3.3;0;1;0
40;624;15.6;25;0;0;3.3;0;1;0
41;627;15.6;25;0;0;3.3;0;1;0
42;631;15.6;25;0;0;3.3;0;1;0
43;635;15.6;25;0;0;3.3;0;1;0
44;639;15.6;25;0;0;3.3;0;1;0
45;643;15.6;25;0;0;3.3;0;1;0
46;648;15.6;25;0;0;3.3;0;1;0
47;652;15.6;25;0;0;3.3;0;1;0
48;656;15.6;25;0;0;3.3;0;1;0
49;660;15.6;25;0;0;3.3;0;1;0
50;664;15.6;25;0;0;3.3;0;1;0
