LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;586;15.6;25;0;0;3.3;0;1;0
2;601;15.6;25;0;0;3.3;0;1;0
3;616;15.6;25;0;0;3.3;0;1;0
4;631;15.6;25;0;0;3.3;0;1;0
5;646;15.6;25;0;0;3.3;0;1;0
6;660;15.6;25;0;0;3.3;0;1;0
7;675;15.6;25;0;0;3.3;0;1;0
8;690;15.6;25;0;0;3.3;0;1;0
9;705;15.6;25;0;0;3.3;0;1;0
10;720;15.6;25;0;0;3.3;0;1;0
11;734;15.6;25;0;0;3.3;0;1;0
12;749;15.6;25;0;0;3.3;0;1;0
13;764;15.6;25;0;0;3.3;0;1;0
14;779;15.6;25;0;0;3.3;0;1;0
15;794;15.6;25;0;0;3.3;0;1;0
16;808;15.6;25;0;0;3.3;0;1;0
17;823;15.6;25;0;0;3.3;0;1;0
18;838;15.6;25;0;0;3.3;0;1;0
19;853;15.6;25;0;0;3.3;0;1;0
20;868;15.6;25;0;0;3.3;0;1;0
21;882;15.6;25;0;0;3.3;0;1;0
22;897;15.6;25;0;0;3.3;0;1;0
23;912;15.6;25;0;0;3.3;0;1;0
24;927;15.6;25;0;0;3.3;0;1;0
25;942;15.6;25;0;0;3.3;0;1;0
26;956;15.6;25;0;0;3.3;0;1;0
27;971;15.6;25;0;0;3.3;0;1;0
28;986;15.6;25;0;0;3.3;0;1;0
29;1001;15.6;25;0;0;3.3;0;1;0
30;1016;15.6;25;0;0;3.3;0;1;0
31;1030;15.6;25;0;0;3.3;0;1;0
32;1045;15.6;25;0;0;3.3;0;1;0
33;1060;15.6;25;0;0;3.3;0;1;0
34;1075;15.6;25;0;0;3.3;0;1;0
35;1090;15.6;25;0;0;3.3;0;1;0
36;1104;15.6;25;0;0;3.3;0;1;0
37;1119;15.6;25;0;0;3.3;0;1;0
38;1134;15.6;25;0;0;3.3;0;1;0
39;1149;15.6;25;0;0;3.3;0;1;0
40;1164;15.6;25;0;0;3.3;0;1;0
41;1178;15.6;25;0;0;3.3;0;1;0
42;1195;15.6;25;0;0;3.3;0;1;0
43;1211;15.6;25;0;0;3.3;0;1;0
44;1228;15.6;25;0;0;3.3;0;1;0
45;1244;15.6;25;0;0;3.3;0;1;0
46;1261;15.6;25;0;0;3.3;0;1;0
47;1277;15.6;25;0;0;3.3;0;1;0
48;1294;15.6;25;0;0;3.3;0;1;0
49;1310;15.6;25;0;0;3.3;0;1;0
50;1327;15.6;25;0;0;3.3;0;1;0
