2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;536;15.6;25;0;0;3.3;0;1;0
2;547;15.6;25;0;0;3.3;0;1;0
3;558;15.6;25;0;0;3.3;0;1;0
4;569;15.6;25;0;0;3.3;0;1;0
5;580;15.6;25;0;0;3.3;0;1;0
6;592;15.6;25;0;0;3.3;0;1;0
7;603;15.6;25;0;0;3.3;0;1;0
8;614;15.6;25;0;0;3.3;0;1;0
9;625;15.6;25;0;0;3.3;0;1;0
10;636;15.6;25;0;0;3.3;0;1;0
11;646;15.6;25;0;0;3.3;0;1;0
12;657;15.6;25;0;0;3.3;0;1;0
13;668;15.6;25;0;0;3.3;0;1;0
14;679;15.6;25;0;0;3.3;0;1;0
15;690;15.6;25;0;0;3.3;0;1;0
16;702;15.6;25;0;0;3.3;0;1;0
17;713;15.6;25;0;0;3.3;0;1;0
18;724;15.6;25;0;0;3.3;0;1;0
19;735;15.6;25;0;0;3.3;0;1;0
20;746;15.6;25;0;0;3.3;0;1;0
21;757;15.6;25;0;0;3.3;0;1;0
22;768;15.6;25;0;0;3.3;0;1;0
23;779;15.6;25;0;0;3.3;0;1;0
24;790;15.6;25;0;0;3.3;0;1;0
25;801;15.6;25;0;0;3.3;0;1;0
26;812;15.6;25;0;0;3.3;0;1;0
27;823;15.6;25;0;0;3.3;0;1;0
28;834;15.6;25;0;0;3.3;0;1;0
29;845;15.6;25;0;0;3.3;0;1;0
30;856;15.6;25;0;0;3.3;0;1;0
31;867;15.6;25;0;0;3.3;0;1;0
32;878;15.6;25;0;0;3.3;0;1;0
33;889;15.6;25;0;0;3.3;0;1;0
34;900;15.6;25;0;0;3.3;0;1;0
35;911;15.6;25;0;0;3.3;0;1;0
36;923;15.6;25;0;0;3.3;0;1;0
37;934;15.6;25;0;0;3.3;0;1;0
38;945;15.6;25;0;0;3.3;0;1;0
39;956;15.6;25;0;0;3.3;0;1;0
40;967;15.6;25;0;0;3.3;0;1;0
41;977;15.6;25;0;0;3.3;0;1;0
42;989;15.6;25;0;0;3.3;0;1;0
43;1002;15.6;25;0;0;3.3;0;1;0
44;1014;15.6;25;0;0;3.3;0;1;0
45;1026;15.6;25;0;0;3.3;0;1;0
46;1039;15.6;25;0;0;3.3;0;1;0
47;1051;15.6;25;0;0;3.3;0;1;0
48;1063;15.6;25;0;0;3.3;0;1;0
49;1076;15.6;25;0;0;3.3;0;1;0
50;1088;15.6;25;0;0;3.3;0;1;0
