2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;588;0;0;0;0;0;0;0;0
2;603;0;0;0;0;0;0;0;0
3;618;0;0;0;0;0;0;0;0
4;633;0;0;0;0;0;0;0;0
5;648;0;0;0;0;0;0;0;0
6;663;0;0;0;0;0;0;0;0
7;678;0;0;0;0;0;0;0;0
8;693;0;0;0;0;0;0;0;0
9;708;0;0;0;0;0;0;0;0
10;723;0;0;0;0;0;0;0;0
11;737;0;0;0;0;0;0;0;0
12;752;0;0;0;0;0;0;0;0
13;767;0;0;0;0;0;0;0;0
14;782;0;0;0;0;0;0;0;0
15;797;0;0;0;0;0;0;0;0
16;812;0;0;0;0;0;0;0;0
17;827;0;0;0;0;0;0;0;0
18;842;0;0;0;0;0;0;0;0
19;857;0;0;0;0;0;0;0;0
20;872;0;0;0;0;0;0;0;0
21;886;0;0;0;0;0;0;0;0
22;901;0;0;0;0;0;0;0;0
23;916;0;0;0;0;0;0;0;0
24;931;0;0;0;0;0;0;0;0
25;946;0;0;0;0;0;0;0;0
26;961;0;0;0;0;0;0;0;0
27;976;0;0;0;0;0;0;0;0
28;991;0;0;0;0;0;0;0;0
29;1006;0;0;0;0;0;0;0;0
30;1021;0;0;0;0;0;0;0;0
31;1035;0;0;0;0;0;0;0;0
32;1050;0;0;0;0;0;0;0;0
33;1065;0;0;0;0;0;0;0;0
34;1080;0;0;0;0;0;0;0;0
35;1095;0;0;0;0;0;0;0;0
36;1110;0;0;0;0;0;0;0;0
37;1125;0;0;0;0;0;0;0;0
38;1140;0;0;0;0;0;0;0;0
39;1155;0;0;0;0;0;0;0;0
40;1170;0;0;0;0;0;0;0;0
41;1184;0;0;0;0;0;0;0;0
42;1201;0;0;0;0;0;0;0;0
43;1217;0;0;0;0;0;0;0;0
44;1234;0;0;0;0;0;0;0;0
45;1250;0;0;0;0;0;0;0;0
46;1267;0;0;0;0;0;0;0;0
47;1283;0;0;0;0;0;0;0;0
48;1300;0;0;0;0;0;0;0;0
49;1316;0;0;0;0;0;0;0;0
50;1333;0;0;0;0;0;0;0;0
