2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,538,0,0,0,0,0,0,0,0,0
2,549,0,0,0,0,0,0,0,0,0
3,560,0,0,0,0,0,0,0,0,0
4,571,0,0,0,0,0,0,0,0,0
5,582,0,0,0,0,0,0,0,0,0
6,594,0,0,0,0,0,0,0,0,0
7,605,0,0,0,0,0,0,0,0,0
8,616,0,0,0,0,0,0,0,0,0
9,627,0,0,0,0,0,0,0,0,0
10,638,0,0,0,0,0,0,0,0,0
11,649,0,0,0,0,0,0,0,0,0
12,660,0,0,0,0,0,0,0,0,0
13,671,0,0,0,0,0,0,0,0,0
14,682,0,0,0,0,0,0,0,0,0
15,693,0,0,0,0,0,0,0,0,0
16,705,0,0,0,0,0,0,0,0,0
17,716,0,0,0,0,0,0,0,0,0
18,727,0,0,0,0,0,0,0,0,0
19,738,0,0,0,0,0,0,0,0,0
20,749,0,0,0,0,0,0,0,0,0
21,760,0,0,0,0,0,0,0,0,0
22,771,0,0,0,0,0,0,0,0,0
23,782,0,0,0,0,0,0,0,0,0
24,793,0,0,0,0,0,0,0,0,0
25,804,0,0,0,0,0,0,0,0,0
26,816,0,0,0,0,0,0,0,0,0
27,827,0,0,0,0,0,0,0,0,0
28,838,0,0,0,0,0,0,0,0,0
29,849,0,0,0,0,0,0,0,0,0
30,860,0,0,0,0,0,0,0,0,0
31,871,0,0,0,0,0,0,0,0,0
32,882,0,0,0,0,0,0,0,0,0
33,893,0,0,0,0,0,0,0,0,0
34,904,0,0,0,0,0,0,0,0,0
35,915,0,0,0,0,0,0,0,0,0
36,927,0,0,0,0,0,0,0,0,0
37,938,0,0,0,0,0,0,0,0,0
38,949,0,0,0,0,0,0,0,0,0
39,960,0,0,0,0,0,0,0,0,0
40,971,0,0,0,0,0,0,0,0,0
41,982,0,0,0,0,0,0,0,0,0
42,994,0,0,0,0,0,0,0,0,0
43,1007,0,0,0,0,0,0,0,0,0
44,1019,0,0,0,0,0,0,0,0,0
45,1031,0,0,0,0,0,0,0,0,0
46,1044,0,0,0,0,0,0,0,0,0
47,1056,0,0,0,0,0,0,0,0,0
48,1068,0,0,0,0,0,0,0,0,0
49,1081,0,0,0,0,0,0,0,0,0
50,1093,0,0,0,0,0,0,0,0,0
