LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;523;13.3;0;3.3;0;3.5;0;1;0
2;527;13.3;0;3.3;0;3.5;0;1;0
3;531;13.3;0;3.3;0;3.5;0;1;0
4;536;13.3;0;3.3;0;3.5;0;1;0
5;540;13.3;0;3.3;0;3.5;0;1;0
6;544;13.3;0;3.3;0;3.5;0;1;0
7;548;13.3;0;3.3;0;3.5;0;1;0
8;553;13.3;0;3.3;0;3.5;0;1;0
9;557;13.3;0;3.3;0;3.5;0;1;0
10;561;13.3;0;3.3;0;3.5;0;1;0
11;565;13.3;0;3.3;0;3.5;0;1;0
12;569;13.3;0;3.3;0;3.5;0;1;0
13;573;13.3;0;3.3;0;3.5;0;1;0
14;578;13.3;0;3.3;0;3.5;0;1;0
15;582;13.3;0;3.3;0;3.5;0;1;0
16;586;13.3;0;3.3;0;3.5;0;1;0
17;590;13.3;0;3.3;0;3.5;0;1;0
18;595;13.3;0;3.3;0;3.5;0;1;0
19;599;13.3;0;3.3;0;3.5;0;1;0
20;603;13.3;0;3.3;0;3.5;0;1;0
21;607;13.3;0;3.3;0;3.5;0;1;0
22;611;13.3;0;3.3;0;3.5;0;1;0
23;615;13.3;0;3.3;0;3.5;0;1;0
24;620;13.3;0;3.3;0;3.5;0;1;0
25;624;13.3;0;3.3;0;3.5;0;1;0
26;628;13.3;0;3.3;0;3.5;0;1;0
27;632;13.3;0;3.3;0;3.5;0;1;0
28;637;13.3;0;3.3;0;3.5;0;1;0
29;641;13.3;0;3.3;0;3.5;0;1;0
30;645;13.3;0;3.3;0;3.5;0;1;0
31;648;13.3;0;3.3;0;3.5;0;1;0
32;652;13.3;0;3.3;0;3.5;0;1;0
33;656;13.3;0;3.3;0;3.5;0;1;0
34;661;13.3;0;3.3;0;3.5;0;1;0
35;665;13.3;0;3.3;0;3.5;0;1;0
36;669;13.3;0;3.3;0;3.5;0;1;0
37;673;13.3;0;3.3;0;3.5;0;1;0
38;678;13.3;0;3.3;0;3.5;0;1;0
39;682;13.3;0;3.3;0;3.5;0;1;0
40;686;13.3;0;3.3;0;3.5;0;1;0
41;690;13.3;0;3.3;0;3.5;0;1;0
42;695;13.3;0;3.3;0;3.5;0;1;0
43;699;13.3;0;3.3;0;3.5;0;1;0
44;704;13.3;0;3.3;0;3.5;0;1;0
45;708;13.3;0;3.3;0;3.5;0;1;0
46;713;13.3;0;3.3;0;3.5;0;1;0
47;717;13.3;0;3.3;0;3.5;0;1;0
48;722;13.3;0;3.3;0;3.5;0;1;0
49;726;13.3;0;3.3;0;3.5;0;1;0
50;731;13.3;0;3.3;0;3.5;0;1;0
