2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;645;13.3;0;3.3;0;3.5;0;1;0
2;661;13.3;0;3.3;0;3.5;0;1;0
3;678;13.3;0;3.3;0;3.5;0;1;0
4;694;13.3;0;3.3;0;3.5;0;1;0
5;710;13.3;0;3.3;0;3.5;0;1;0
6;727;13.3;0;3.3;0;3.5;0;1;0
7;743;13.3;0;3.3;0;3.5;0;1;0
8;759;13.3;0;3.3;0;3.5;0;1;0
9;776;13.3;0;3.3;0;3.5;0;1;0
10;792;13.3;0;3.3;0;3.5;0;1;0
11;808;13.3;0;3.3;0;3.5;0;1;0
12;824;13.3;0;3.3;0;3.5;0;1;0
13;841;13.3;0;3.3;0;3.5;0;1;0
14;857;13.3;0;3.3;0;3.5;0;1;0
15;873;13.3;0;3.3;0;3.5;0;1;0
16;890;13.3;0;3.3;0;3.5;0;1;0
17;906;13.3;0;3.3;0;3.5;0;1;0
18;922;13.3;0;3.3;0;3.5;0;1;0
19;939;13.3;0;3.3;0;3.5;0;1;0
20;955;13.3;0;3.3;0;3.5;0;1;0
21;971;13.3;0;3.3;0;3.5;0;1;0
22;987;13.3;0;3.3;0;3.5;0;1;0
23;1004;13.3;0;3.3;0;3.5;0;1;0
24;1020;13.3;0;3.3;0;3.5;0;1;0
25;1037;13.3;0;3.3;0;3.5;0;1;0
26;1053;13.3;0;3.3;0;3.5;0;1;0
27;1070;13.3;0;3.3;0;3.5;0;1;0
28;1086;13.3;0;3.3;0;3.5;0;1;0
29;1103;13.3;0;3.3;0;3.5;0;1;0
30;1119;13.3;0;3.3;0;3.5;0;1;0
31;1135;13.3;0;3.3;0;3.5;0;1;0
32;1151;13.3;0;3.3;0;3.5;0;1;0
33;1168;13.3;0;3.3;0;3.5;0;1;0
34;1184;13.3;0;3.3;0;3.5;0;1;0
35;1200;13.3;0;3.3;0;3.5;0;1;0
36;1217;13.3;0;3.3;0;3.5;0;1;0
37;1233;13.3;0;3.3;0;3.5;0;1;0
38;1249;13.3;0;3.3;0;3.5;0;1;0
39;1266;13.3;0;3.3;0;3.5;0;1;0
40;1282;13.3;0;3.3;0;3.5;0;1;0
41;1298;13.3;0;3.3;0;3.5;0;1;0
42;1316;13.3;0;3.3;0;3.5;0;1;0
43;1334;13.3;0;3.3;0;3.5;0;1;0
44;1353;13.3;0;3.3;0;3.5;0;1;0
45;1371;13.3;0;3.3;0;3.5;0;1;0
46;1389;13.3;0;3.3;0;3.5;0;1;0
47;1407;13.3;0;3.3;0;3.5;0;1;0
48;1426;13.3;0;3.3;0;3.5;0;1;0
49;1444;13.3;0;3.3;0;3.5;0;1;0
50;1462;13.3;0;3.3;0;3.5;0;1;0
