2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;1213;13.3;0;3.3;0;3.5;0;1;0
2;1224;13.3;0;3.3;0;3.5;0;1;0
3;1235;13.3;0;3.3;0;3.5;0;1;0
4;1246;13.3;0;3.3;0;3.5;0;1;0
5;1257;13.3;0;3.3;0;3.5;0;1;0
6;1267;13.3;0;3.3;0;3.5;0;1;0
7;1278;13.3;0;3.3;0;3.5;0;1;0
8;1289;13.3;0;3.3;0;3.5;0;1;0
9;1300;13.3;0;3.3;0;3.5;0;1;0
10;1311;13.3;0;3.3;0;3.5;0;1;0
11;1321;13.3;0;3.3;0;3.5;0;1;0
12;1332;13.3;0;3.3;0;3.5;0;1;0
13;1343;13.3;0;3.3;0;3.5;0;1;0
14;1354;13.3;0;3.3;0;3.5;0;1;0
15;1365;13.3;0;3.3;0;3.5;0;1;0
16;1375;13.3;0;3.3;0;3.5;0;1;0
17;1386;13.3;0;3.3;0;3.5;0;1;0
18;1397;13.3;0;3.3;0;3.5;0;1;0
19;1408;13.3;0;3.3;0;3.5;0;1;0
20;1419;13.3;0;3.3;0;3.5;0;1;0
21;1429;13.3;0;3.3;0;3.5;0;1;0
22;1440;13.3;0;3.3;0;3.5;0;1;0
23;1451;13.3;0;3.3;0;3.5;0;1;0
24;1462;13.3;0;3.3;0;3.5;0;1;0
25;1473;13.3;0;3.3;0;3.5;0;1;0
26;1483;13.3;0;3.3;0;3.5;0;1;0
27;1494;13.3;0;3.3;0;3.5;0;1;0
28;1505;13.3;0;3.3;0;3.5;0;1;0
29;1516;13.3;0;3.3;0;3.5;0;1;0
30;1527;13.3;0;3.3;0;3.5;0;1;0
31;1538;13.3;0;3.3;0;3.5;0;1;0
32;1549;13.3;0;3.3;0;3.5;0;1;0
33;1560;13.3;0;3.3;0;3.5;0;1;0
34;1570;13.3;0;3.3;0;3.5;0;1;0
35;1581;13.3;0;3.3;0;3.5;0;1;0
36;1592;13.3;0;3.3;0;3.5;0;1;0
37;1603;13.3;0;3.3;0;3.5;0;1;0
38;1613;13.3;0;3.3;0;3.5;0;1;0
39;1624;13.3;0;3.3;0;3.5;0;1;0
40;1635;13.3;0;3.3;0;3.5;0;1;0
41;1646;13.3;0;3.3;0;3.5;0;1;0
42;1658;13.3;0;3.3;0;3.5;0;1;0
43;1670;13.3;0;3.3;0;3.5;0;1;0
44;1682;13.3;0;3.3;0;3.5;0;1;0
45;1694;13.3;0;3.3;0;3.5;0;1;0
46;1707;13.3;0;3.3;0;3.5;0;1;0
47;1719;13.3;0;3.3;0;3.5;0;1;0
48;1731;13.3;0;3.3;0;3.5;0;1;0
49;1743;13.3;0;3.3;0;3.5;0;1;0
50;1755;13.3;0;3.3;0;3.5;0;1;0
