2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;590;13.3;0;3.3;0;3.5;0;1;0
2;602;13.3;0;3.3;0;3.5;0;1;0
3;615;13.3;0;3.3;0;3.5;0;1;0
4;627;13.3;0;3.3;0;3.5;0;1;0
5;639;13.3;0;3.3;0;3.5;0;1;0
6;652;13.3;0;3.3;0;3.5;0;1;0
7;664;13.3;0;3.3;0;3.5;0;1;0
8;676;13.3;0;3.3;0;3.5;0;1;0
9;689;13.3;0;3.3;0;3.5;0;1;0
10;701;13.3;0;3.3;0;3.5;0;1;0
11;712;13.3;0;3.3;0;3.5;0;1;0
12;724;13.3;0;3.3;0;3.5;0;1;0
13;736;13.3;0;3.3;0;3.5;0;1;0
14;749;13.3;0;3.3;0;3.5;0;1;0
15;761;13.3;0;3.3;0;3.5;0;1;0
16;773;13.3;0;3.3;0;3.5;0;1;0
17;785;13.3;0;3.3;0;3.5;0;1;0
18;798;13.3;0;3.3;0;3.5;0;1;0
19;810;13.3;0;3.3;0;3.5;0;1;0
20;822;13.3;0;3.3;0;3.5;0;1;0
21;834;13.3;0;3.3;0;3.5;0;1;0
22;846;13.3;0;3.3;0;3.5;0;1;0
23;858;13.3;0;3.3;0;3.5;0;1;0
24;871;13.3;0;3.3;0;3.5;0;1;0
25;883;13.3;0;3.3;0;3.5;0;1;0
26;895;13.3;0;3.3;0;3.5;0;1;0
27;907;13.3;0;3.3;0;3.5;0;1;0
28;920;13.3;0;3.3;0;3.5;0;1;0
29;932;13.3;0;3.3;0;3.5;0;1;0
30;944;13.3;0;3.3;0;3.5;0;1;0
31;955;13.3;0;3.3;0;3.5;0;1;0
32;967;13.3;0;3.3;0;3.5;0;1;0
33;979;13.3;0;3.3;0;3.5;0;1;0
34;992;13.3;0;3.3;0;3.5;0;1;0
35;1004;13.3;0;3.3;0;3.5;0;1;0
36;1016;13.3;0;3.3;0;3.5;0;1;0
37;1028;13.3;0;3.3;0;3.5;0;1;0
38;1041;13.3;0;3.3;0;3.5;0;1;0
39;1053;13.3;0;3.3;0;3.5;0;1;0
40;1065;13.3;0;3.3;0;3.5;0;1;0
41;1077;13.3;0;3.3;0;3.5;0;1;0
42;1091;13.3;0;3.3;0;3.5;0;1;0
43;1104;13.3;0;3.3;0;3.5;0;1;0
44;1118;13.3;0;3.3;0;3.5;0;1;0
45;1131;13.3;0;3.3;0;3.5;0;1;0
46;1145;13.3;0;3.3;0;3.5;0;1;0
47;1158;13.3;0;3.3;0;3.5;0;1;0
48;1172;13.3;0;3.3;0;3.5;0;1;0
49;1185;13.3;0;3.3;0;3.5;0;1;0
50;1199;13.3;0;3.3;0;3.5;0;1;0
