1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;576;11.1;22;17.8;1.0;0;0;1;0
2;581;11.1;22;17.8;1.0;0;0;1;0
3;586;11.1;22;17.8;1.0;0;0;1;0
4;592;11.1;22;17.8;1.0;0;0;1;0
5;597;11.1;22;17.8;1.0;0;0;1;0
6;602;11.1;22;17.8;1.0;0;0;1;0
7;607;11.1;22;17.8;1.0;0;0;1;0
8;613;11.1;22;17.8;1.0;0;0;1;0
9;618;11.1;22;17.8;1.0;0;0;1;0
10;623;11.1;22;17.8;1.0;0;0;1;0
11;627;11.1;22;17.8;1.0;0;0;1;0
12;632;11.1;22;17.8;1.0;0;0;1;0
13;637;11.1;22;17.8;1.0;0;0;1;0
14;643;11.1;22;17.8;1.0;0;0;1;0
15;648;11.1;22;17.8;1.0;0;0;1;0
16;653;11.1;22;17.8;1.0;0;0;1;0
17;658;11.1;22;17.8;1.0;0;0;1;0
18;664;11.1;22;17.8;1.0;0;0;1;0
19;669;11.1;22;17.8;1.0;0;0;1;0
20;674;11.1;22;17.8;1.0;0;0;1;0
21;679;11.1;22;17.8;1.0;0;0;1;0
22;684;11.1;22;17.8;1.0;0;0;1;0
23;689;11.1;22;17.8;1.0;0;0;1;0
24;694;11.1;22;17.8;1.0;0;0;1;0
25;699;11.1;22;17.8;1.0;0;0;1;0
26;705;11.1;22;17.8;1.0;0;0;1;0
27;710;11.1;22;17.8;1.0;0;0;1;0
28;715;11.1;22;17.8;1.0;0;0;1;0
29;720;11.1;22;17.8;1.0;0;0;1;0
30;725;11.1;22;17.8;1.0;0;0;1;0
31;730;11.1;22;17.8;1.0;0;0;1;0
32;735;11.1;22;17.8;1.0;0;0;1;0
33;740;11.1;22;17.8;1.0;0;0;1;0
34;746;11.1;22;17.8;1.0;0;0;1;0
35;751;11.1;22;17.8;1.0;0;0;1;0
36;756;11.1;22;17.8;1.0;0;0;1;0
37;761;11.1;22;17.8;1.0;0;0;1;0
38;767;11.1;22;17.8;1.0;0;0;1;0
39;772;11.1;22;17.8;1.0;0;0;1;0
40;777;11.1;22;17.8;1.0;0;0;1;0
41;781;11.1;22;17.8;1.0;0;0;1;0
42;787;11.1;22;17.8;1.0;0;0;1;0
43;793;11.1;22;17.8;1.0;0;0;1;0
44;799;11.1;22;17.8;1.0;0;0;1;0
45;805;11.1;22;17.8;1.0;0;0;1;0
46;811;11.1;22;17.8;1.0;0;0;1;0
47;817;11.1;22;17.8;1.0;0;0;1;0
48;823;11.1;22;17.8;1.0;0;0;1;0
49;829;11.1;22;17.8;1.0;0;0;1;0
50;835;11.1;22;17.8;1.0;0;0;1;0
