1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;281;11.1;22;17.8;1.0;0;0;1;0
2;287;11.1;22;17.8;1.0;0;0;1;0
3;293;11.1;22;17.8;1.0;0;0;1;0
4;298;11.1;22;17.8;1.0;0;0;1;0
5;304;11.1;22;17.8;1.0;0;0;1;0
6;310;11.1;22;17.8;1.0;0;0;1;0
7;316;11.1;22;17.8;1.0;0;0;1;0
8;321;11.1;22;17.8;1.0;0;0;1;0
9;327;11.1;22;17.8;1.0;0;0;1;0
10;333;11.1;22;17.8;1.0;0;0;1;0
11;339;11.1;22;17.8;1.0;0;0;1;0
12;345;11.1;22;17.8;1.0;0;0;1;0
13;351;11.1;22;17.8;1.0;0;0;1;0
14;356;11.1;22;17.8;1.0;0;0;1;0
15;362;11.1;22;17.8;1.0;0;0;1;0
16;368;11.1;22;17.8;1.0;0;0;1;0
17;374;11.1;22;17.8;1.0;0;0;1;0
18;379;11.1;22;17.8;1.0;0;0;1;0
19;385;11.1;22;17.8;1.0;0;0;1;0
20;391;11.1;22;17.8;1.0;0;0;1;0
21;397;11.1;22;17.8;1.0;0;0;1;0
22;403;11.1;22;17.8;1.0;0;0;1;0
23;409;11.1;22;17.8;1.0;0;0;1;0
24;414;11.1;22;17.8;1.0;0;0;1;0
25;420;11.1;22;17.8;1.0;0;0;1;0
26;426;11.1;22;17.8;1.0;0;0;1;0
27;432;11.1;22;17.8;1.0;0;0;1;0
28;437;11.1;22;17.8;1.0;0;0;1;0
29;443;11.1;22;17.8;1.0;0;0;1;0
30;449;11.1;22;17.8;1.0;0;0;1;0
31;455;11.1;22;17.8;1.0;0;0;1;0
32;461;11.1;22;17.8;1.0;0;0;1;0
33;467;11.1;22;17.8;1.0;0;0;1;0
34;472;11.1;22;17.8;1.0;0;0;1;0
35;478;11.1;22;17.8;1.0;0;0;1;0
36;484;11.1;22;17.8;1.0;0;0;1;0
37;490;11.1;22;17.8;1.0;0;0;1;0
38;495;11.1;22;17.8;1.0;0;0;1;0
39;501;11.1;22;17.8;1.0;0;0;1;0
40;507;11.1;22;17.8;1.0;0;0;1;0
41;513;11.1;22;17.8;1.0;0;0;1;0
42;519;11.1;22;17.8;1.0;0;0;1;0
43;526;11.1;22;17.8;1.0;0;0;1;0
44;532;11.1;22;17.8;1.0;0;0;1;0
45;538;11.1;22;17.8;1.0;0;0;1;0
46;545;11.1;22;17.8;1.0;0;0;1;0
47;551;11.1;22;17.8;1.0;0;0;1;0
48;557;11.1;22;17.8;1.0;0;0;1;0
49;564;11.1;22;17.8;1.0;0;0;1;0
50;570;11.1;22;17.8;1.0;0;0;1;0
