1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,265,11.1,22,17.8,1.0,2,0,0,1,0
2,269,11.1,22,17.8,1.0,2,0,0,1,0
3,273,11.1,22,17.8,1.0,2,0,0,1,0
4,277,11.1,22,17.8,1.0,2,0,0,1,0
5,281,11.1,22,17.8,1.0,2,0,0,1,0
6,286,11.1,22,17.8,1.0,2,0,0,1,0
7,290,11.1,22,17.8,1.0,2,0,0,1,0
8,294,11.1,22,17.8,1.0,2,0,0,1,0
9,298,11.1,22,17.8,1.0,2,0,0,1,0
10,302,11.1,22,17.8,1.0,2,0,0,1,0
11,305,11.1,22,17.8,1.0,2,0,0,1,0
12,309,11.1,22,17.8,1.0,2,0,0,1,0
13,313,11.1,22,17.8,1.0,2,0,0,1,0
14,317,11.1,22,17.8,1.0,2,0,0,1,0
15,321,11.1,22,17.8,1.0,2,0,0,1,0
16,326,11.1,22,17.8,1.0,2,0,0,1,0
17,330,11.1,22,17.8,1.0,2,0,0,1,0
18,334,11.1,22,17.8,1.0,2,0,0,1,0
19,338,11.1,22,17.8,1.0,2,0,0,1,0
20,342,11.1,22,17.8,1.0,2,0,0,1,0
21,346,11.1,22,17.8,1.0,2,0,0,1,0
22,350,11.1,22,17.8,1.0,2,0,0,1,0
23,354,11.1,22,17.8,1.0,2,0,0,1,0
24,358,11.1,22,17.8,1.0,2,0,0,1,0
25,362,11.1,22,17.8,1.0,2,0,0,1,0
26,367,11.1,22,17.8,1.0,2,0,0,1,0
27,371,11.1,22,17.8,1.0,2,0,0,1,0
28,375,11.1,22,17.8,1.0,2,0,0,1,0
29,379,11.1,22,17.8,1.0,2,0,0,1,0
30,383,11.1,22,17.8,1.0,2,0,0,1,0
31,387,11.1,22,17.8,1.0,2,0,0,1,0
32,391,11.1,22,17.8,1.0,2,0,0,1,0
33,395,11.1,22,17.8,1.0,2,0,0,1,0
34,399,11.1,22,17.8,1.0,2,0,0,1,0
35,403,11.1,22,17.8,1.0,2,0,0,1,0
36,408,11.1,22,17.8,1.0,2,0,0,1,0
37,412,11.1,22,17.8,1.0,2,0,0,1,0
38,416,11.1,22,17.8,1.0,2,0,0,1,0
39,420,11.1,22,17.8,1.0,2,0,0,1,0
40,424,11.1,22,17.8,1.0,2,0,0,1,0
41,428,11.1,22,17.8,1.0,2,0,0,1,0
42,432,11.1,22,17.8,1.0,2,0,0,1,0
43,437,11.1,22,17.8,1.0,2,0,0,1,0
44,441,11.1,22,17.8,1.0,2,0,0,1,0
45,446,11.1,22,17.8,1.0,2,0,0,1,0
46,450,11.1,22,17.8,1.0,2,0,0,1,0
47,455,11.1,22,17.8,1.0,2,0,0,1,0
48,459,11.1,22,17.8,1.0,2,0,0,1,0
49,464,11.1,22,17.8,1.0,2,0,0,1,0
50,468,11.1,22,17.8,1.0,2,0,0,1,0
