2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0,20,0,0,0,0,0,0,1,6
2,0,20,0,0,0,0,0,0,1,6
3,0,20,0,0,0,0,0,0,1,6
4,0,20,0,0,0,0,0,0,1,6
5,0,20,0,0,0,0,0,0,1,6
6,0,20,0,0,0,0,0,0,1,6
7,0,20,0,0,0,0,0,0,1,6
8,0,20,0,0,0,0,0,0,1,6
9,0,20,0,0,0,0,0,0,1,6
10,0,20,0,0,0,0,0,0,1,6
11,0,20,0,0,0,0,0,0,1,6
12,0,20,0,0,0,0,0,0,1,6
13,0,20,0,0,0,0,0,0,1,6
14,0,20,0,0,0,0,0,0,1,6
15,0,20,0,0,0,0,0,0,1,6
16,0,20,0,0,0,0,0,0,1,6
17,0,20,0,0,0,0,0,0,1,6
18,0,20,0,0,0,0,0,0,1,6
19,0,20,0,0,0,0,0,0,1,6
20,0,20,0,0,0,0,0,0,1,6
21,0,20,0,0,0,0,0,0,1,6
22,0,20,0,0,0,0,0,0,1,6
23,0,20,0,0,0,0,0,0,1,6
24,0,20,0,0,0,0,0,0,1,6
25,0,20,0,0,0,0,0,0,1,6
26,0,20,0,0,0,0,0,0,1,6
27,0,20,0,0,0,0,0,0,1,6
28,0,20,0,0,0,0,0,0,1,6
29,0,20,0,0,0,0,0,0,1,6
30,0,20,0,0,0,0,0,0,1,6
31,0,20,0,0,0,0,0,0,1,6
32,0,20,0,0,0,0,0,0,1,6
33,0,20,0,0,0,0,0,0,1,6
34,0,20,0,0,0,0,0,0,1,6
35,0,20,0,0,0,0,0,0,1,6
36,0,20,0,0,0,0,0,0,1,6
37,0,20,0,0,0,0,0,0,1,6
38,0,20,0,0,0,0,0,0,1,6
39,0,20,0,0,0,0,0,0,1,6
40,0,20,0,0,0,0,0,0,1,6
41,0,20,0,0,0,0,0,0,1,6
42,0,20,0,0,0,0,0,0,1,6
43,0,20,0,0,0,0,0,0,1,6
44,0,20,0,0,0,0,0,0,1,6
45,0,20,0,0,0,0,0,0,1,6
46,0,20,0,0,0,0,0,0,1,6
47,0,20,0,0,0,0,0,0,1,6
48,0,20,0,0,0,0,0,0,1,6
49,0,20,0,0,0,0,0,0,1,6
50,0,20,0,0,0,0,0,0,1,6
