1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,29,8.5,12,33,0,0,0,8,7,0
2,30,8.5,12,33,0,0,0,8,7,0
3,30,8.5,12,33,0,0,0,8,7,0
4,31,8.5,12,33,0,0,0,8,7,0
5,32,8.5,12,33,0,0,0,8,7,0
6,32,8.5,12,33,0,0,0,8,7,0
7,33,8.5,12,33,0,0,0,8,7,0
8,34,8.5,12,33,0,0,0,8,7,0
9,34,8.5,12,33,0,0,0,8,7,0
10,35,8.5,12,33,0,0,0,8,7,0
11,35,8.5,12,33,0,0,0,8,7,0
12,36,8.5,12,33,0,0,0,8,7,0
13,36,8.5,12,33,0,0,0,8,7,0
14,37,8.5,12,33,0,0,0,8,7,0
15,37,8.5,12,33,0,0,0,8,7,0
16,38,8.5,12,33,0,0,0,8,7,0
17,38,8.5,12,33,0,0,0,8,7,0
18,39,8.5,12,33,0,0,0,8,7,0
19,39,8.5,12,33,0,0,0,8,7,0
20,40,8.5,12,33,0,0,0,8,7,0
21,40,8.5,12,33,0,0,0,8,7,0
22,41,8.5,12,33,0,0,0,8,7,0
23,41,8.5,12,33,0,0,0,8,7,0
24,42,8.5,12,33,0,0,0,8,7,0
25,43,8.5,12,33,0,0,0,8,7,0
26,43,8.5,12,33,0,0,0,8,7,0
27,44,8.5,12,33,0,0,0,8,7,0
28,45,8.5,12,33,0,0,0,8,7,0
29,45,8.5,12,33,0,0,0,8,7,0
30,46,8.5,12,33,0,0,0,8,7,0
31,46,8.5,12,33,0,0,0,8,7,0
32,47,8.5,12,33,0,0,0,8,7,0
33,47,8.5,12,33,0,0,0,8,7,0
34,48,8.5,12,33,0,0,0,8,7,0
35,49,8.5,12,33,0,0,0,8,7,0
36,49,8.5,12,33,0,0,0,8,7,0
37,50,8.5,12,33,0,0,0,8,7,0
38,51,8.5,12,33,0,0,0,8,7,0
39,51,8.5,12,33,0,0,0,8,7,0
40,52,8.5,12,33,0,0,0,8,7,0
41,52,8.5,12,33,0,0,0,8,7,0
42,53,8.5,12,33,0,0,0,8,7,0
43,53,8.5,12,33,0,0,0,8,7,0
44,54,8.5,12,33,0,0,0,8,7,0
45,54,8.5,12,33,0,0,0,8,7,0
46,55,8.5,12,33,0,0,0,8,7,0
47,55,8.5,12,33,0,0,0,8,7,0
48,56,8.5,12,33,0,0,0,8,7,0
49,56,8.5,12,33,0,0,0,8,7,0
50,57,8.5,12,33,0,0,0,8,7,0
