1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;48;8.5;12;33;0;0;8;7;0
2;49;8.5;12;33;0;0;8;7;0
3;50;8.5;12;33;0;0;8;7;0
4;52;8.5;12;33;0;0;8;7;0
5;53;8.5;12;33;0;0;8;7;0
6;54;8.5;12;33;0;0;8;7;0
7;55;8.5;12;33;0;0;8;7;0
8;57;8.5;12;33;0;0;8;7;0
9;58;8.5;12;33;0;0;8;7;0
10;59;8.5;12;33;0;0;8;7;0
11;59;8.5;12;33;0;0;8;7;0
12;60;8.5;12;33;0;0;8;7;0
13;62;8.5;12;33;0;0;8;7;0
14;63;8.5;12;33;0;0;8;7;0
15;64;8.5;12;33;0;0;8;7;0
16;66;8.5;12;33;0;0;8;7;0
17;67;8.5;12;33;0;0;8;7;0
18;68;8.5;12;33;0;0;8;7;0
19;70;8.5;12;33;0;0;8;7;0
20;71;8.5;12;33;0;0;8;7;0
21;71;8.5;12;33;0;0;8;7;0
22;72;8.5;12;33;0;0;8;7;0
23;73;8.5;12;33;0;0;8;7;0
24;75;8.5;12;33;0;0;8;7;0
25;76;8.5;12;33;0;0;8;7;0
26;77;8.5;12;33;0;0;8;7;0
27;78;8.5;12;33;0;0;8;7;0
28;80;8.5;12;33;0;0;8;7;0
29;81;8.5;12;33;0;0;8;7;0
30;82;8.5;12;33;0;0;8;7;0
31;82;8.5;12;33;0;0;8;7;0
32;83;8.5;12;33;0;0;8;7;0
33;85;8.5;12;33;0;0;8;7;0
34;86;8.5;12;33;0;0;8;7;0
35;87;8.5;12;33;0;0;8;7;0
36;89;8.5;12;33;0;0;8;7;0
37;90;8.5;12;33;0;0;8;7;0
38;91;8.5;12;33;0;0;8;7;0
39;93;8.5;12;33;0;0;8;7;0
40;94;8.5;12;33;0;0;8;7;0
41;94;8.5;12;33;0;0;8;7;0
42;95;8.5;12;33;0;0;8;7;0
43;96;8.5;12;33;0;0;8;7;0
44;98;8.5;12;33;0;0;8;7;0
45;99;8.5;12;33;0;0;8;7;0
46;100;8.5;12;33;0;0;8;7;0
47;101;8.5;12;33;0;0;8;7;0
48;103;8.5;12;33;0;0;8;7;0
49;104;8.5;12;33;0;0;8;7;0
50;105;8.5;12;33;0;0;8;7;0
