1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,83,8.5,12,33,0,0,0,8,7,0
2,84,8.5,12,33,0,0,0,8,7,0
3,85,8.5,12,33,0,0,0,8,7,0
4,86,8.5,12,33,0,0,0,8,7,0
5,87,8.5,12,33,0,0,0,8,7,0
6,88,8.5,12,33,0,0,0,8,7,0
7,89,8.5,12,33,0,0,0,8,7,0
8,90,8.5,12,33,0,0,0,8,7,0
9,91,8.5,12,33,0,0,0,8,7,0
10,92,8.5,12,33,0,0,0,8,7,0
11,92,8.5,12,33,0,0,0,8,7,0
12,93,8.5,12,33,0,0,0,8,7,0
13,94,8.5,12,33,0,0,0,8,7,0
14,95,8.5,12,33,0,0,0,8,7,0
15,96,8.5,12,33,0,0,0,8,7,0
16,96,8.5,12,33,0,0,0,8,7,0
17,97,8.5,12,33,0,0,0,8,7,0
18,98,8.5,12,33,0,0,0,8,7,0
19,99,8.5,12,33,0,0,0,8,7,0
20,100,8.5,12,33,0,0,0,8,7,0
21,100,8.5,12,33,0,0,0,8,7,0
22,101,8.5,12,33,0,0,0,8,7,0
23,102,8.5,12,33,0,0,0,8,7,0
24,103,8.5,12,33,0,0,0,8,7,0
25,104,8.5,12,33,0,0,0,8,7,0
26,105,8.5,12,33,0,0,0,8,7,0
27,106,8.5,12,33,0,0,0,8,7,0
28,107,8.5,12,33,0,0,0,8,7,0
29,108,8.5,12,33,0,0,0,8,7,0
30,109,8.5,12,33,0,0,0,8,7,0
31,109,8.5,12,33,0,0,0,8,7,0
32,110,8.5,12,33,0,0,0,8,7,0
33,111,8.5,12,33,0,0,0,8,7,0
34,112,8.5,12,33,0,0,0,8,7,0
35,113,8.5,12,33,0,0,0,8,7,0
36,113,8.5,12,33,0,0,0,8,7,0
37,114,8.5,12,33,0,0,0,8,7,0
38,115,8.5,12,33,0,0,0,8,7,0
39,116,8.5,12,33,0,0,0,8,7,0
40,117,8.5,12,33,0,0,0,8,7,0
41,117,8.5,12,33,0,0,0,8,7,0
42,118,8.5,12,33,0,0,0,8,7,0
43,119,8.5,12,33,0,0,0,8,7,0
44,120,8.5,12,33,0,0,0,8,7,0
45,121,8.5,12,33,0,0,0,8,7,0
46,122,8.5,12,33,0,0,0,8,7,0
47,123,8.5,12,33,0,0,0,8,7,0
48,124,8.5,12,33,0,0,0,8,7,0
49,125,8.5,12,33,0,0,0,8,7,0
50,126,8.5,12,33,0,0,0,8,7,0
