1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,38,8.5,12,33,0,0,0,8,7,0
2,39,8.5,12,33,0,0,0,8,7,0
3,40,8.5,12,33,0,0,0,8,7,0
4,40,8.5,12,33,0,0,0,8,7,0
5,41,8.5,12,33,0,0,0,8,7,0
6,42,8.5,12,33,0,0,0,8,7,0
7,43,8.5,12,33,0,0,0,8,7,0
8,43,8.5,12,33,0,0,0,8,7,0
9,44,8.5,12,33,0,0,0,8,7,0
10,45,8.5,12,33,0,0,0,8,7,0
11,45,8.5,12,33,0,0,0,8,7,0
12,46,8.5,12,33,0,0,0,8,7,0
13,47,8.5,12,33,0,0,0,8,7,0
14,47,8.5,12,33,0,0,0,8,7,0
15,48,8.5,12,33,0,0,0,8,7,0
16,49,8.5,12,33,0,0,0,8,7,0
17,50,8.5,12,33,0,0,0,8,7,0
18,50,8.5,12,33,0,0,0,8,7,0
19,51,8.5,12,33,0,0,0,8,7,0
20,52,8.5,12,33,0,0,0,8,7,0
21,52,8.5,12,33,0,0,0,8,7,0
22,53,8.5,12,33,0,0,0,8,7,0
23,53,8.5,12,33,0,0,0,8,7,0
24,54,8.5,12,33,0,0,0,8,7,0
25,55,8.5,12,33,0,0,0,8,7,0
26,55,8.5,12,33,0,0,0,8,7,0
27,56,8.5,12,33,0,0,0,8,7,0
28,57,8.5,12,33,0,0,0,8,7,0
29,57,8.5,12,33,0,0,0,8,7,0
30,58,8.5,12,33,0,0,0,8,7,0
31,58,8.5,12,33,0,0,0,8,7,0
32,59,8.5,12,33,0,0,0,8,7,0
33,60,8.5,12,33,0,0,0,8,7,0
34,60,8.5,12,33,0,0,0,8,7,0
35,61,8.5,12,33,0,0,0,8,7,0
36,62,8.5,12,33,0,0,0,8,7,0
37,63,8.5,12,33,0,0,0,8,7,0
38,63,8.5,12,33,0,0,0,8,7,0
39,64,8.5,12,33,0,0,0,8,7,0
40,65,8.5,12,33,0,0,0,8,7,0
41,65,8.5,12,33,0,0,0,8,7,0
42,66,8.5,12,33,0,0,0,8,7,0
43,67,8.5,12,33,0,0,0,8,7,0
44,67,8.5,12,33,0,0,0,8,7,0
45,68,8.5,12,33,0,0,0,8,7,0
46,69,8.5,12,33,0,0,0,8,7,0
47,70,8.5,12,33,0,0,0,8,7,0
48,70,8.5,12,33,0,0,0,8,7,0
49,71,8.5,12,33,0,0,0,8,7,0
50,72,8.5,12,33,0,0,0,8,7,0
