1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;4;20;0;0;0;7;0;1;0
2;5;20;0;0;0;7;0;1;0
3;5;20;0;0;0;7;0;1;0
4;5;20;0;0;0;7;0;1;0
5;5;20;0;0;0;7;0;1;0
6;5;20;0;0;0;7;0;1;0
7;5;20;0;0;0;7;0;1;0
8;5;20;0;0;0;7;0;1;0
9;5;20;0;0;0;7;0;1;0
10;5;20;0;0;0;7;0;1;0
11;5;20;0;0;0;7;0;1;0
12;5;20;0;0;0;7;0;1;0
13;5;20;0;0;0;7;0;1;0
14;5;20;0;0;0;7;0;1;0
15;5;20;0;0;0;7;0;1;0
16;5;20;0;0;0;7;0;1;0
17;5;20;0;0;0;7;0;1;0
18;5;20;0;0;0;7;0;1;0
19;5;20;0;0;0;7;0;1;0
20;5;20;0;0;0;7;0;1;0
21;5;20;0;0;0;7;0;1;0
22;5;20;0;0;0;7;0;1;0
23;5;20;0;0;0;7;0;1;0
24;5;20;0;0;0;7;0;1;0
25;5;20;0;0;0;7;0;1;0
26;5;20;0;0;0;7;0;1;0
27;5;20;0;0;0;7;0;1;0
28;5;20;0;0;0;7;0;1;0
29;5;20;0;0;0;7;0;1;0
30;6;20;0;0;0;7;0;1;0
31;6;20;0;0;0;7;0;1;0
32;6;20;0;0;0;7;0;1;0
33;6;20;0;0;0;7;0;1;0
34;6;20;0;0;0;7;0;1;0
35;6;20;0;0;0;7;0;1;0
36;6;20;0;0;0;7;0;1;0
37;6;20;0;0;0;7;0;1;0
38;6;20;0;0;0;7;0;1;0
39;6;20;0;0;0;7;0;1;0
40;6;20;0;0;0;7;0;1;0
41;6;20;0;0;0;7;0;1;0
42;6;20;0;0;0;7;0;1;0
43;6;20;0;0;0;7;0;1;0
44;6;20;0;0;0;7;0;1;0
45;6;20;0;0;0;7;0;1;0
46;6;20;0;0;0;7;0;1;0
47;6;20;0;0;0;7;0;1;0
48;6;20;0;0;0;7;0;1;0
49;6;20;0;0;0;7;0;1;0
50;6;20;0;0;0;7;0;1;0
