1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;6;20;0;0;0;7;0;1;0
2;6;20;0;0;0;7;0;1;0
3;6;20;0;0;0;7;0;1;0
4;6;20;0;0;0;7;0;1;0
5;6;20;0;0;0;7;0;1;0
6;6;20;0;0;0;7;0;1;0
7;6;20;0;0;0;7;0;1;0
8;6;20;0;0;0;7;0;1;0
9;7;20;0;0;0;7;0;1;0
10;7;20;0;0;0;7;0;1;0
11;7;20;0;0;0;7;0;1;0
12;7;20;0;0;0;7;0;1;0
13;7;20;0;0;0;7;0;1;0
14;7;20;0;0;0;7;0;1;0
15;7;20;0;0;0;7;0;1;0
16;8;20;0;0;0;7;0;1;0
17;8;20;0;0;0;7;0;1;0
18;8;20;0;0;0;7;0;1;0
19;8;20;0;0;0;7;0;1;0
20;8;20;0;0;0;7;0;1;0
21;8;20;0;0;0;7;0;1;0
22;8;20;0;0;0;7;0;1;0
23;9;20;0;0;0;7;0;1;0
24;9;20;0;0;0;7;0;1;0
25;9;20;0;0;0;7;0;1;0
26;9;20;0;0;0;7;0;1;0
27;9;20;0;0;0;7;0;1;0
28;9;20;0;0;0;7;0;1;0
29;9;20;0;0;0;7;0;1;0
30;10;20;0;0;0;7;0;1;0
31;10;20;0;0;0;7;0;1;0
32;10;20;0;0;0;7;0;1;0
33;10;20;0;0;0;7;0;1;0
34;10;20;0;0;0;7;0;1;0
35;10;20;0;0;0;7;0;1;0
36;10;20;0;0;0;7;0;1;0
37;11;20;0;0;0;7;0;1;0
38;11;20;0;0;0;7;0;1;0
39;11;20;0;0;0;7;0;1;0
40;11;20;0;0;0;7;0;1;0
41;11;20;0;0;0;7;0;1;0
42;11;20;0;0;0;7;0;1;0
43;11;20;0;0;0;7;0;1;0
44;12;20;0;0;0;7;0;1;0
45;12;20;0;0;0;7;0;1;0
46;12;20;0;0;0;7;0;1;0
47;12;20;0;0;0;7;0;1;0
48;12;20;0;0;0;7;0;1;0
49;12;20;0;0;0;7;0;1;0
50;13;20;0;0;0;7;0;1;0
