LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;171;11,1;40;39,6;5;0;0;1;0
2;172;11,1;40;39,6;5;0;0;1;0
3;174;11,1;40;39,6;5;0;0;1;0
4;175;11,1;40;39,6;5;0;0;1;0
5;177;11,1;40;39,6;5;0;0;1;0
6;178;11,1;40;39,6;5;0;0;1;0
7;180;11,1;40;39,6;5;0;0;1;0
8;181;11,1;40;39,6;5;0;0;1;0
9;183;11,1;40;39,6;5;0;0;1;0
10;184;11,1;40;39,6;5;0;0;1;0
11;185;11,1;40;39,6;5;0;0;1;0
12;186;11,1;40;39,6;5;0;0;1;0
13;188;11,1;40;39,6;5;0;0;1;0
14;189;11,1;40;39,6;5;0;0;1;0
15;190;11,1;40;39,6;5;0;0;1;0
16;192;11,1;40;39,6;5;0;0;1;0
17;193;11,1;40;39,6;5;0;0;1;0
18;194;11,1;40;39,6;5;0;0;1;0
19;196;11,1;40;39,6;5;0;0;1;0
20;197;11,1;40;39,6;5;0;0;1;0
21;198;11,1;40;39,6;5;0;0;1;0
22;199;11,1;40;39,6;5;0;0;1;0
23;201;11,1;40;39,6;5;0;0;1;0
24;202;11,1;40;39,6;5;0;0;1;0
25;203;11,1;40;39,6;5;0;0;1;0
26;205;11,1;40;39,6;5;0;0;1;0
27;206;11,1;40;39,6;5;0;0;1;0
28;207;11,1;40;39,6;5;0;0;1;0
29;209;11,1;40;39,6;5;0;0;1;0
30;210;11,1;40;39,6;5;0;0;1;0
31;211;11,1;40;39,6;5;0;0;1;0
32;212;11,1;40;39,6;5;0;0;1;0
33;214;11,1;40;39,6;5;0;0;1;0
34;215;11,1;40;39,6;5;0;0;1;0
35;217;11,1;40;39,6;5;0;0;1;0
36;218;11,1;40;39,6;5;0;0;1;0
37;220;11,1;40;39,6;5;0;0;1;0
38;221;11,1;40;39,6;5;0;0;1;0
39;223;11,1;40;39,6;5;0;0;1;0
40;224;11,1;40;39,6;5;0;0;1;0
41;225;11,1;40;39,6;5;0;0;1;0
42;227;11,1;40;39,6;5;0;0;1;0
43;228;11,1;40;39,6;5;0;0;1;0
44;230;11,1;40;39,6;5;0;0;1;0
45;232;11,1;40;39,6;5;0;0;1;0
46;233;11,1;40;39,6;5;0;0;1;0
47;235;11,1;40;39,6;5;0;0;1;0
48;237;11,1;40;39,6;5;0;0;1;0
49;238;11,1;40;39,6;5;0;0;1;0
50;240;11,1;40;39,6;5;0;0;1;0
