1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;0;20;0;0;0;7;0;1;8
2;0;20;0;0;0;7;0;1;8
3;0;20;0;0;0;7;0;1;8
4;0;20;0;0;0;7;0;1;8
5;0;20;0;0;0;7;0;1;8
6;0;20;0;0;0;7;0;1;8
7;0;20;0;0;0;7;0;1;8
8;0;20;0;0;0;7;0;1;8
9;0;20;0;0;0;7;0;1;8
10;0;20;0;0;0;7;0;1;8
11;0;20;0;0;0;7;0;1;8
12;0;20;0;0;0;7;0;1;8
13;0;20;0;0;0;7;0;1;8
14;0;20;0;0;0;7;0;1;8
15;0;20;0;0;0;7;0;1;8
16;0;20;0;0;0;7;0;1;8
17;0;20;0;0;0;7;0;1;8
18;0;20;0;0;0;7;0;1;8
19;0;20;0;0;0;7;0;1;8
20;0;20;0;0;0;7;0;1;8
21;0;20;0;0;0;7;0;1;8
22;0;20;0;0;0;7;0;1;8
23;0;20;0;0;0;7;0;1;8
24;0;20;0;0;0;7;0;1;8
25;0;20;0;0;0;7;0;1;8
26;0;20;0;0;0;7;0;1;8
27;0;20;0;0;0;7;0;1;8
28;0;20;0;0;0;7;0;1;8
29;0;20;0;0;0;7;0;1;8
30;0;20;0;0;0;7;0;1;8
31;0;20;0;0;0;7;0;1;8
32;0;20;0;0;0;7;0;1;8
33;0;20;0;0;0;7;0;1;8
34;0;20;0;0;0;7;0;1;8
35;0;20;0;0;0;7;0;1;8
36;0;20;0;0;0;7;0;1;8
37;0;20;0;0;0;7;0;1;8
38;0;20;0;0;0;7;0;1;8
39;0;20;0;0;0;7;0;1;8
40;0;20;0;0;0;7;0;1;8
41;0;20;0;0;0;7;0;1;8
42;0;20;0;0;0;7;0;1;8
43;0;20;0;0;0;7;0;1;8
44;0;20;0;0;0;7;0;1;8
45;0;20;0;0;0;7;0;1;8
46;0;20;0;0;0;7;0;1;8
47;0;20;0;0;0;7;0;1;8
48;0;20;0;0;0;7;0;1;8
49;0;20;0;0;0;7;0;1;8
50;0;20;0;0;0;7;0;1;8
