2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,1009,18,0,0,0,0,0,140,1,8
2,1030,18,0,0,0,0,0,140,1,8
3,1051,18,0,0,0,0,0,140,1,8
4,1072,18,0,0,0,0,0,140,1,8
5,1093,18,0,0,0,0,0,140,1,8
6,1113,18,0,0,0,0,0,140,1,8
7,1134,18,0,0,0,0,0,140,1,8
8,1155,18,0,0,0,0,0,140,1,8
9,1176,18,0,0,0,0,0,140,1,8
10,1197,18,0,0,0,0,0,140,1,8
11,1217,18,0,0,0,0,0,140,1,8
12,1238,18,0,0,0,0,0,140,1,8
13,1259,18,0,0,0,0,0,140,1,8
14,1280,18,0,0,0,0,0,140,1,8
15,1301,18,0,0,0,0,0,140,1,8
16,1321,18,0,0,0,0,0,140,1,8
17,1342,18,0,0,0,0,0,140,1,8
18,1363,18,0,0,0,0,0,140,1,8
19,1384,18,0,0,0,0,0,140,1,8
20,1405,18,0,0,0,0,0,140,1,8
21,1425,18,0,0,0,0,0,140,1,8
22,1446,18,0,0,0,0,0,140,1,8
23,1467,18,0,0,0,0,0,140,1,8
24,1488,18,0,0,0,0,0,140,1,8
25,1509,18,0,0,0,0,0,140,1,8
26,1529,18,0,0,0,0,0,140,1,8
27,1550,18,0,0,0,0,0,140,1,8
28,1571,18,0,0,0,0,0,140,1,8
29,1592,18,0,0,0,0,0,140,1,8
30,1613,18,0,0,0,0,0,140,1,8
31,1633,18,0,0,0,0,0,140,1,8
32,1654,18,0,0,0,0,0,140,1,8
33,1675,18,0,0,0,0,0,140,1,8
34,1696,18,0,0,0,0,0,140,1,8
35,1717,18,0,0,0,0,0,140,1,8
36,1737,18,0,0,0,0,0,140,1,8
37,1758,18,0,0,0,0,0,140,1,8
38,1779,18,0,0,0,0,0,140,1,8
39,1800,18,0,0,0,0,0,140,1,8
40,1821,18,0,0,0,0,0,140,1,8
41,1841,18,0,0,0,0,0,140,1,8
42,1864,18,0,0,0,0,0,140,1,8
43,1887,18,0,0,0,0,0,140,1,8
44,1910,18,0,0,0,0,0,140,1,8
45,1933,18,0,0,0,0,0,140,1,8
46,1957,18,0,0,0,0,0,140,1,8
47,1980,18,0,0,0,0,0,140,1,8
48,2003,18,0,0,0,0,0,140,1,8
49,2026,18,0,0,0,0,0,140,1,8
50,2049,18,0,0,0,0,0,140,1,8
