2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;951;18;0;0;0;0;140;1;8
2;966;18;0;0;0;0;140;1;8
3;980;18;0;0;0;0;140;1;8
4;995;18;0;0;0;0;140;1;8
5;1010;18;0;0;0;0;140;1;8
6;1024;18;0;0;0;0;140;1;8
7;1039;18;0;0;0;0;140;1;8
8;1054;18;0;0;0;0;140;1;8
9;1068;18;0;0;0;0;140;1;8
10;1083;18;0;0;0;0;140;1;8
11;1097;18;0;0;0;0;140;1;8
12;1112;18;0;0;0;0;140;1;8
13;1126;18;0;0;0;0;140;1;8
14;1141;18;0;0;0;0;140;1;8
15;1156;18;0;0;0;0;140;1;8
16;1170;18;0;0;0;0;140;1;8
17;1185;18;0;0;0;0;140;1;8
18;1200;18;0;0;0;0;140;1;8
19;1214;18;0;0;0;0;140;1;8
20;1229;18;0;0;0;0;140;1;8
21;1243;18;0;0;0;0;140;1;8
22;1258;18;0;0;0;0;140;1;8
23;1272;18;0;0;0;0;140;1;8
24;1287;18;0;0;0;0;140;1;8
25;1302;18;0;0;0;0;140;1;8
26;1316;18;0;0;0;0;140;1;8
27;1331;18;0;0;0;0;140;1;8
28;1346;18;0;0;0;0;140;1;8
29;1360;18;0;0;0;0;140;1;8
30;1375;18;0;0;0;0;140;1;8
31;1389;18;0;0;0;0;140;1;8
32;1404;18;0;0;0;0;140;1;8
33;1418;18;0;0;0;0;140;1;8
34;1433;18;0;0;0;0;140;1;8
35;1448;18;0;0;0;0;140;1;8
36;1462;18;0;0;0;0;140;1;8
37;1477;18;0;0;0;0;140;1;8
38;1492;18;0;0;0;0;140;1;8
39;1506;18;0;0;0;0;140;1;8
40;1521;18;0;0;0;0;140;1;8
41;1535;18;0;0;0;0;140;1;8
42;1551;18;0;0;0;0;140;1;8
43;1568;18;0;0;0;0;140;1;8
44;1584;18;0;0;0;0;140;1;8
45;1600;18;0;0;0;0;140;1;8
46;1617;18;0;0;0;0;140;1;8
47;1633;18;0;0;0;0;140;1;8
48;1649;18;0;0;0;0;140;1;8
49;1666;18;0;0;0;0;140;1;8
50;1682;18;0;0;0;0;140;1;8
