1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;42;17;0;0;0;0;0;1;10
2;42;17;0;0;0;0;0;1;10
3;43;17;0;0;0;0;0;1;10
4;43;17;0;0;0;0;0;1;10
5;43;17;0;0;0;0;0;1;10
6;44;17;0;0;0;0;0;1;10
7;44;17;0;0;0;0;0;1;10
8;44;17;0;0;0;0;0;1;10
9;45;17;0;0;0;0;0;1;10
10;45;17;0;0;0;0;0;1;10
11;45;17;0;0;0;0;0;1;10
12;45;17;0;0;0;0;0;1;10
13;46;17;0;0;0;0;0;1;10
14;46;17;0;0;0;0;0;1;10
15;46;17;0;0;0;0;0;1;10
16;47;17;0;0;0;0;0;1;10
17;47;17;0;0;0;0;0;1;10
18;47;17;0;0;0;0;0;1;10
19;48;17;0;0;0;0;0;1;10
20;48;17;0;0;0;0;0;1;10
21;48;17;0;0;0;0;0;1;10
22;48;17;0;0;0;0;0;1;10
23;49;17;0;0;0;0;0;1;10
24;49;17;0;0;0;0;0;1;10
25;49;17;0;0;0;0;0;1;10
26;50;17;0;0;0;0;0;1;10
27;50;17;0;0;0;0;0;1;10
28;50;17;0;0;0;0;0;1;10
29;51;17;0;0;0;0;0;1;10
30;51;17;0;0;0;0;0;1;10
31;51;17;0;0;0;0;0;1;10
32;51;17;0;0;0;0;0;1;10
33;52;17;0;0;0;0;0;1;10
34;52;17;0;0;0;0;0;1;10
35;52;17;0;0;0;0;0;1;10
36;53;17;0;0;0;0;0;1;10
37;53;17;0;0;0;0;0;1;10
38;53;17;0;0;0;0;0;1;10
39;54;17;0;0;0;0;0;1;10
40;54;17;0;0;0;0;0;1;10
41;54;17;0;0;0;0;0;1;10
42;54;17;0;0;0;0;0;1;10
43;55;17;0;0;0;0;0;1;10
44;55;17;0;0;0;0;0;1;10
45;56;17;0;0;0;0;0;1;10
46;56;17;0;0;0;0;0;1;10
47;57;17;0;0;0;0;0;1;10
48;57;17;0;0;0;0;0;1;10
49;58;17;0;0;0;0;0;1;10
50;58;17;0;0;0;0;0;1;10
