1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,51,17,0,0,0,0,0,0,1,10
2,52,17,0,0,0,0,0,0,1,10
3,54,17,0,0,0,0,0,0,1,10
4,55,17,0,0,0,0,0,0,1,10
5,57,17,0,0,0,0,0,0,1,10
6,58,17,0,0,0,0,0,0,1,10
7,60,17,0,0,0,0,0,0,1,10
8,61,17,0,0,0,0,0,0,1,10
9,63,17,0,0,0,0,0,0,1,10
10,64,17,0,0,0,0,0,0,1,10
11,64,17,0,0,0,0,0,0,1,10
12,65,17,0,0,0,0,0,0,1,10
13,67,17,0,0,0,0,0,0,1,10
14,68,17,0,0,0,0,0,0,1,10
15,70,17,0,0,0,0,0,0,1,10
16,71,17,0,0,0,0,0,0,1,10
17,73,17,0,0,0,0,0,0,1,10
18,74,17,0,0,0,0,0,0,1,10
19,76,17,0,0,0,0,0,0,1,10
20,77,17,0,0,0,0,0,0,1,10
21,77,17,0,0,0,0,0,0,1,10
22,78,17,0,0,0,0,0,0,1,10
23,80,17,0,0,0,0,0,0,1,10
24,81,17,0,0,0,0,0,0,1,10
25,83,17,0,0,0,0,0,0,1,10
26,84,17,0,0,0,0,0,0,1,10
27,86,17,0,0,0,0,0,0,1,10
28,87,17,0,0,0,0,0,0,1,10
29,89,17,0,0,0,0,0,0,1,10
30,90,17,0,0,0,0,0,0,1,10
31,90,17,0,0,0,0,0,0,1,10
32,91,17,0,0,0,0,0,0,1,10
33,93,17,0,0,0,0,0,0,1,10
34,94,17,0,0,0,0,0,0,1,10
35,96,17,0,0,0,0,0,0,1,10
36,97,17,0,0,0,0,0,0,1,10
37,99,17,0,0,0,0,0,0,1,10
38,100,17,0,0,0,0,0,0,1,10
39,102,17,0,0,0,0,0,0,1,10
40,103,17,0,0,0,0,0,0,1,10
41,103,17,0,0,0,0,0,0,1,10
42,104,17,0,0,0,0,0,0,1,10
43,106,17,0,0,0,0,0,0,1,10
44,107,17,0,0,0,0,0,0,1,10
45,108,17,0,0,0,0,0,0,1,10
46,110,17,0,0,0,0,0,0,1,10
47,111,17,0,0,0,0,0,0,1,10
48,112,17,0,0,0,0,0,0,1,10
49,114,17,0,0,0,0,0,0,1,10
50,115,17,0,0,0,0,0,0,1,10
