1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;47;17;0;0;0;0;0;1;10
2;48;17;0;0;0;0;0;1;10
3;49;17;0;0;0;0;0;1;10
4;50;17;0;0;0;0;0;1;10
5;51;17;0;0;0;0;0;1;10
6;53;17;0;0;0;0;0;1;10
7;54;17;0;0;0;0;0;1;10
8;55;17;0;0;0;0;0;1;10
9;56;17;0;0;0;0;0;1;10
10;57;17;0;0;0;0;0;1;10
11;57;17;0;0;0;0;0;1;10
12;58;17;0;0;0;0;0;1;10
13;59;17;0;0;0;0;0;1;10
14;60;17;0;0;0;0;0;1;10
15;61;17;0;0;0;0;0;1;10
16;63;17;0;0;0;0;0;1;10
17;64;17;0;0;0;0;0;1;10
18;65;17;0;0;0;0;0;1;10
19;66;17;0;0;0;0;0;1;10
20;67;17;0;0;0;0;0;1;10
21;67;17;0;0;0;0;0;1;10
22;68;17;0;0;0;0;0;1;10
23;69;17;0;0;0;0;0;1;10
24;70;17;0;0;0;0;0;1;10
25;71;17;0;0;0;0;0;1;10
26;73;17;0;0;0;0;0;1;10
27;74;17;0;0;0;0;0;1;10
28;75;17;0;0;0;0;0;1;10
29;76;17;0;0;0;0;0;1;10
30;77;17;0;0;0;0;0;1;10
31;77;17;0;0;0;0;0;1;10
32;78;17;0;0;0;0;0;1;10
33;79;17;0;0;0;0;0;1;10
34;80;17;0;0;0;0;0;1;10
35;81;17;0;0;0;0;0;1;10
36;83;17;0;0;0;0;0;1;10
37;84;17;0;0;0;0;0;1;10
38;85;17;0;0;0;0;0;1;10
39;86;17;0;0;0;0;0;1;10
40;87;17;0;0;0;0;0;1;10
41;87;17;0;0;0;0;0;1;10
42;88;17;0;0;0;0;0;1;10
43;89;17;0;0;0;0;0;1;10
44;90;17;0;0;0;0;0;1;10
45;91;17;0;0;0;0;0;1;10
46;91;17;0;0;0;0;0;1;10
47;92;17;0;0;0;0;0;1;10
48;93;17;0;0;0;0;0;1;10
49;94;17;0;0;0;0;0;1;10
50;95;17;0;0;0;0;0;1;10
