LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;300;14.4;22;14.9;1.0;2;0;1;0
2;302;14.4;22;14.9;1.0;2;0;1;0
3;305;14.4;22;14.9;1.0;2;0;1;0
4;307;14.4;22;14.9;1.0;2;0;1;0
5;310;14.4;22;14.9;1.0;2;0;1;0
6;312;14.4;22;14.9;1.0;2;0;1;0
7;315;14.4;22;14.9;1.0;2;0;1;0
8;317;14.4;22;14.9;1.0;2;0;1;0
9;320;14.4;22;14.9;1.0;2;0;1;0
10;322;14.4;22;14.9;1.0;2;0;1;0
11;323;14.4;22;14.9;1.0;2;0;1;0
12;325;14.4;22;14.9;1.0;2;0;1;0
13;328;14.4;22;14.9;1.0;2;0;1;0
14;330;14.4;22;14.9;1.0;2;0;1;0
15;333;14.4;22;14.9;1.0;2;0;1;0
16;335;14.4;22;14.9;1.0;2;0;1;0
17;338;14.4;22;14.9;1.0;2;0;1;0
18;340;14.4;22;14.9;1.0;2;0;1;0
19;343;14.4;22;14.9;1.0;2;0;1;0
20;345;14.4;22;14.9;1.0;2;0;1;0
21;347;14.4;22;14.9;1.0;2;0;1;0
22;349;14.4;22;14.9;1.0;2;0;1;0
23;352;14.4;22;14.9;1.0;2;0;1;0
24;354;14.4;22;14.9;1.0;2;0;1;0
25;357;14.4;22;14.9;1.0;2;0;1;0
26;359;14.4;22;14.9;1.0;2;0;1;0
27;362;14.4;22;14.9;1.0;2;0;1;0
28;364;14.4;22;14.9;1.0;2;0;1;0
29;367;14.4;22;14.9;1.0;2;0;1;0
30;369;14.4;22;14.9;1.0;2;0;1;0
31;371;14.4;22;14.9;1.0;2;0;1;0
32;373;14.4;22;14.9;1.0;2;0;1;0
33;376;14.4;22;14.9;1.0;2;0;1;0
34;378;14.4;22;14.9;1.0;2;0;1;0
35;381;14.4;22;14.9;1.0;2;0;1;0
36;383;14.4;22;14.9;1.0;2;0;1;0
37;386;14.4;22;14.9;1.0;2;0;1;0
38;388;14.4;22;14.9;1.0;2;0;1;0
39;391;14.4;22;14.9;1.0;2;0;1;0
40;393;14.4;22;14.9;1.0;2;0;1;0
41;395;14.4;22;14.9;1.0;2;0;1;0
42;398;14.4;22;14.9;1.0;2;0;1;0
43;400;14.4;22;14.9;1.0;2;0;1;0
44;403;14.4;22;14.9;1.0;2;0;1;0
45;405;14.4;22;14.9;1.0;2;0;1;0
46;408;14.4;22;14.9;1.0;2;0;1;0
47;410;14.4;22;14.9;1.0;2;0;1;0
48;413;14.4;22;14.9;1.0;2;0;1;0
49;415;14.4;22;14.9;1.0;2;0;1;0
50;418;14.4;22;14.9;1.0;2;0;1;0
