2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;694;14.4;22;14.9;1.0;2;0;1;0
2;700;14.4;22;14.9;1.0;2;0;1;0
3;706;14.4;22;14.9;1.0;2;0;1;0
4;713;14.4;22;14.9;1.0;2;0;1;0
5;719;14.4;22;14.9;1.0;2;0;1;0
6;725;14.4;22;14.9;1.0;2;0;1;0
7;731;14.4;22;14.9;1.0;2;0;1;0
8;738;14.4;22;14.9;1.0;2;0;1;0
9;744;14.4;22;14.9;1.0;2;0;1;0
10;750;14.4;22;14.9;1.0;2;0;1;0
11;756;14.4;22;14.9;1.0;2;0;1;0
12;762;14.4;22;14.9;1.0;2;0;1;0
13;768;14.4;22;14.9;1.0;2;0;1;0
14;775;14.4;22;14.9;1.0;2;0;1;0
15;781;14.4;22;14.9;1.0;2;0;1;0
16;787;14.4;22;14.9;1.0;2;0;1;0
17;793;14.4;22;14.9;1.0;2;0;1;0
18;800;14.4;22;14.9;1.0;2;0;1;0
19;806;14.4;22;14.9;1.0;2;0;1;0
20;812;14.4;22;14.9;1.0;2;0;1;0
21;817;14.4;22;14.9;1.0;2;0;1;0
22;823;14.4;22;14.9;1.0;2;0;1;0
23;830;14.4;22;14.9;1.0;2;0;1;0
24;836;14.4;22;14.9;1.0;2;0;1;0
25;842;14.4;22;14.9;1.0;2;0;1;0
26;849;14.4;22;14.9;1.0;2;0;1;0
27;855;14.4;22;14.9;1.0;2;0;1;0
28;861;14.4;22;14.9;1.0;2;0;1;0
29;868;14.4;22;14.9;1.0;2;0;1;0
30;874;14.4;22;14.9;1.0;2;0;1;0
31;879;14.4;22;14.9;1.0;2;0;1;0
32;885;14.4;22;14.9;1.0;2;0;1;0
33;891;14.4;22;14.9;1.0;2;0;1;0
34;898;14.4;22;14.9;1.0;2;0;1;0
35;904;14.4;22;14.9;1.0;2;0;1;0
36;910;14.4;22;14.9;1.0;2;0;1;0
37;916;14.4;22;14.9;1.0;2;0;1;0
38;923;14.4;22;14.9;1.0;2;0;1;0
39;929;14.4;22;14.9;1.0;2;0;1;0
40;935;14.4;22;14.9;1.0;2;0;1;0
41;941;14.4;22;14.9;1.0;2;0;1;0
42;948;14.4;22;14.9;1.0;2;0;1;0
43;955;14.4;22;14.9;1.0;2;0;1;0
44;962;14.4;22;14.9;1.0;2;0;1;0
45;969;14.4;22;14.9;1.0;2;0;1;0
46;976;14.4;22;14.9;1.0;2;0;1;0
47;983;14.4;22;14.9;1.0;2;0;1;0
48;990;14.4;22;14.9;1.0;2;0;1;0
49;997;14.4;22;14.9;1.0;2;0;1;0
50;1004;14.4;22;14.9;1.0;2;0;1;0
