2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,338,14.4,22,14.9,1.0,2,2,0,1,0
2,345,14.4,22,14.9,1.0,2,2,0,1,0
3,352,14.4,22,14.9,1.0,2,2,0,1,0
4,359,14.4,22,14.9,1.0,2,2,0,1,0
5,366,14.4,22,14.9,1.0,2,2,0,1,0
6,372,14.4,22,14.9,1.0,2,2,0,1,0
7,379,14.4,22,14.9,1.0,2,2,0,1,0
8,386,14.4,22,14.9,1.0,2,2,0,1,0
9,393,14.4,22,14.9,1.0,2,2,0,1,0
10,400,14.4,22,14.9,1.0,2,2,0,1,0
11,407,14.4,22,14.9,1.0,2,2,0,1,0
12,414,14.4,22,14.9,1.0,2,2,0,1,0
13,421,14.4,22,14.9,1.0,2,2,0,1,0
14,428,14.4,22,14.9,1.0,2,2,0,1,0
15,435,14.4,22,14.9,1.0,2,2,0,1,0
16,442,14.4,22,14.9,1.0,2,2,0,1,0
17,449,14.4,22,14.9,1.0,2,2,0,1,0
18,456,14.4,22,14.9,1.0,2,2,0,1,0
19,463,14.4,22,14.9,1.0,2,2,0,1,0
20,470,14.4,22,14.9,1.0,2,2,0,1,0
21,476,14.4,22,14.9,1.0,2,2,0,1,0
22,483,14.4,22,14.9,1.0,2,2,0,1,0
23,490,14.4,22,14.9,1.0,2,2,0,1,0
24,497,14.4,22,14.9,1.0,2,2,0,1,0
25,504,14.4,22,14.9,1.0,2,2,0,1,0
26,511,14.4,22,14.9,1.0,2,2,0,1,0
27,518,14.4,22,14.9,1.0,2,2,0,1,0
28,525,14.4,22,14.9,1.0,2,2,0,1,0
29,532,14.4,22,14.9,1.0,2,2,0,1,0
30,539,14.4,22,14.9,1.0,2,2,0,1,0
31,546,14.4,22,14.9,1.0,2,2,0,1,0
32,553,14.4,22,14.9,1.0,2,2,0,1,0
33,560,14.4,22,14.9,1.0,2,2,0,1,0
34,567,14.4,22,14.9,1.0,2,2,0,1,0
35,574,14.4,22,14.9,1.0,2,2,0,1,0
36,580,14.4,22,14.9,1.0,2,2,0,1,0
37,587,14.4,22,14.9,1.0,2,2,0,1,0
38,594,14.4,22,14.9,1.0,2,2,0,1,0
39,601,14.4,22,14.9,1.0,2,2,0,1,0
40,608,14.4,22,14.9,1.0,2,2,0,1,0
41,615,14.4,22,14.9,1.0,2,2,0,1,0
42,623,14.4,22,14.9,1.0,2,2,0,1,0
43,631,14.4,22,14.9,1.0,2,2,0,1,0
44,639,14.4,22,14.9,1.0,2,2,0,1,0
45,647,14.4,22,14.9,1.0,2,2,0,1,0
46,654,14.4,22,14.9,1.0,2,2,0,1,0
47,662,14.4,22,14.9,1.0,2,2,0,1,0
48,670,14.4,22,14.9,1.0,2,2,0,1,0
49,678,14.4,22,14.9,1.0,2,2,0,1,0
50,686,14.4,22,14.9,1.0,2,2,0,1,0
