2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;30;16.5;27;0;0;3.6;0;1;13
2;31;16.5;27;0;0;3.6;0;1;13
3;32;16.5;27;0;0;3.6;0;1;13
4;33;16.5;27;0;0;3.6;0;1;13
5;34;16.5;27;0;0;3.6;0;1;13
6;34;16.5;27;0;0;3.6;0;1;13
7;35;16.5;27;0;0;3.6;0;1;13
8;36;16.5;27;0;0;3.6;0;1;13
9;37;16.5;27;0;0;3.6;0;1;13
10;38;16.5;27;0;0;3.6;0;1;13
11;38;16.5;27;0;0;3.6;0;1;13
12;39;16.5;27;0;0;3.6;0;1;13
13;40;16.5;27;0;0;3.6;0;1;13
14;40;16.5;27;0;0;3.6;0;1;13
15;41;16.5;27;0;0;3.6;0;1;13
16;42;16.5;27;0;0;3.6;0;1;13
17;43;16.5;27;0;0;3.6;0;1;13
18;43;16.5;27;0;0;3.6;0;1;13
19;44;16.5;27;0;0;3.6;0;1;13
20;45;16.5;27;0;0;3.6;0;1;13
21;45;16.5;27;0;0;3.6;0;1;13
22;46;16.5;27;0;0;3.6;0;1;13
23;47;16.5;27;0;0;3.6;0;1;13
24;48;16.5;27;0;0;3.6;0;1;13
25;49;16.5;27;0;0;3.6;0;1;13
26;49;16.5;27;0;0;3.6;0;1;13
27;50;16.5;27;0;0;3.6;0;1;13
28;51;16.5;27;0;0;3.6;0;1;13
29;52;16.5;27;0;0;3.6;0;1;13
30;53;16.5;27;0;0;3.6;0;1;13
31;53;16.5;27;0;0;3.6;0;1;13
32;54;16.5;27;0;0;3.6;0;1;13
33;55;16.5;27;0;0;3.6;0;1;13
34;55;16.5;27;0;0;3.6;0;1;13
35;56;16.5;27;0;0;3.6;0;1;13
36;57;16.5;27;0;0;3.6;0;1;13
37;58;16.5;27;0;0;3.6;0;1;13
38;58;16.5;27;0;0;3.6;0;1;13
39;59;16.5;27;0;0;3.6;0;1;13
40;60;16.5;27;0;0;3.6;0;1;13
41;60;16.5;27;0;0;3.6;0;1;13
42;61;16.5;27;0;0;3.6;0;1;13
43;61;16.5;27;0;0;3.6;0;1;13
44;62;16.5;27;0;0;3.6;0;1;13
45;63;16.5;27;0;0;3.6;0;1;13
46;63;16.5;27;0;0;3.6;0;1;13
47;64;16.5;27;0;0;3.6;0;1;13
48;65;16.5;27;0;0;3.6;0;1;13
49;65;16.5;27;0;0;3.6;0;1;13
50;66;16.5;27;0;0;3.6;0;1;13
