2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,55,16.5,27,0,0,0,3.6,0,1,13
2,55,16.5,27,0,0,0,3.6,0,1,13
3,56,16.5,27,0,0,0,3.6,0,1,13
4,56,16.5,27,0,0,0,3.6,0,1,13
5,57,16.5,27,0,0,0,3.6,0,1,13
6,57,16.5,27,0,0,0,3.6,0,1,13
7,58,16.5,27,0,0,0,3.6,0,1,13
8,58,16.5,27,0,0,0,3.6,0,1,13
9,59,16.5,27,0,0,0,3.6,0,1,13
10,59,16.5,27,0,0,0,3.6,0,1,13
11,59,16.5,27,0,0,0,3.6,0,1,13
12,60,16.5,27,0,0,0,3.6,0,1,13
13,60,16.5,27,0,0,0,3.6,0,1,13
14,61,16.5,27,0,0,0,3.6,0,1,13
15,61,16.5,27,0,0,0,3.6,0,1,13
16,62,16.5,27,0,0,0,3.6,0,1,13
17,62,16.5,27,0,0,0,3.6,0,1,13
18,63,16.5,27,0,0,0,3.6,0,1,13
19,63,16.5,27,0,0,0,3.6,0,1,13
20,64,16.5,27,0,0,0,3.6,0,1,13
21,64,16.5,27,0,0,0,3.6,0,1,13
22,65,16.5,27,0,0,0,3.6,0,1,13
23,65,16.5,27,0,0,0,3.6,0,1,13
24,66,16.5,27,0,0,0,3.6,0,1,13
25,66,16.5,27,0,0,0,3.6,0,1,13
26,67,16.5,27,0,0,0,3.6,0,1,13
27,67,16.5,27,0,0,0,3.6,0,1,13
28,68,16.5,27,0,0,0,3.6,0,1,13
29,68,16.5,27,0,0,0,3.6,0,1,13
30,69,16.5,27,0,0,0,3.6,0,1,13
31,69,16.5,27,0,0,0,3.6,0,1,13
32,70,16.5,27,0,0,0,3.6,0,1,13
33,70,16.5,27,0,0,0,3.6,0,1,13
34,71,16.5,27,0,0,0,3.6,0,1,13
35,71,16.5,27,0,0,0,3.6,0,1,13
36,72,16.5,27,0,0,0,3.6,0,1,13
37,72,16.5,27,0,0,0,3.6,0,1,13
38,73,16.5,27,0,0,0,3.6,0,1,13
39,73,16.5,27,0,0,0,3.6,0,1,13
40,74,16.5,27,0,0,0,3.6,0,1,13
41,74,16.5,27,0,0,0,3.6,0,1,13
42,74,16.5,27,0,0,0,3.6,0,1,13
43,75,16.5,27,0,0,0,3.6,0,1,13
44,75,16.5,27,0,0,0,3.6,0,1,13
45,76,16.5,27,0,0,0,3.6,0,1,13
46,76,16.5,27,0,0,0,3.6,0,1,13
47,77,16.5,27,0,0,0,3.6,0,1,13
48,77,16.5,27,0,0,0,3.6,0,1,13
49,78,16.5,27,0,0,0,3.6,0,1,13
50,78,16.5,27,0,0,0,3.6,0,1,13
