2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;27;16.5;27;0;0;3.6;0;1;13
2;28;16.5;27;0;0;3.6;0;1;13
3;28;16.5;27;0;0;3.6;0;1;13
4;29;16.5;27;0;0;3.6;0;1;13
5;30;16.5;27;0;0;3.6;0;1;13
6;30;16.5;27;0;0;3.6;0;1;13
7;31;16.5;27;0;0;3.6;0;1;13
8;32;16.5;27;0;0;3.6;0;1;13
9;32;16.5;27;0;0;3.6;0;1;13
10;33;16.5;27;0;0;3.6;0;1;13
11;33;16.5;27;0;0;3.6;0;1;13
12;34;16.5;27;0;0;3.6;0;1;13
13;34;16.5;27;0;0;3.6;0;1;13
14;35;16.5;27;0;0;3.6;0;1;13
15;35;16.5;27;0;0;3.6;0;1;13
16;36;16.5;27;0;0;3.6;0;1;13
17;36;16.5;27;0;0;3.6;0;1;13
18;37;16.5;27;0;0;3.6;0;1;13
19;37;16.5;27;0;0;3.6;0;1;13
20;38;16.5;27;0;0;3.6;0;1;13
21;38;16.5;27;0;0;3.6;0;1;13
22;39;16.5;27;0;0;3.6;0;1;13
23;39;16.5;27;0;0;3.6;0;1;13
24;40;16.5;27;0;0;3.6;0;1;13
25;41;16.5;27;0;0;3.6;0;1;13
26;41;16.5;27;0;0;3.6;0;1;13
27;42;16.5;27;0;0;3.6;0;1;13
28;43;16.5;27;0;0;3.6;0;1;13
29;43;16.5;27;0;0;3.6;0;1;13
30;44;16.5;27;0;0;3.6;0;1;13
31;44;16.5;27;0;0;3.6;0;1;13
32;45;16.5;27;0;0;3.6;0;1;13
33;45;16.5;27;0;0;3.6;0;1;13
34;46;16.5;27;0;0;3.6;0;1;13
35;47;16.5;27;0;0;3.6;0;1;13
36;47;16.5;27;0;0;3.6;0;1;13
37;48;16.5;27;0;0;3.6;0;1;13
38;49;16.5;27;0;0;3.6;0;1;13
39;49;16.5;27;0;0;3.6;0;1;13
40;50;16.5;27;0;0;3.6;0;1;13
41;50;16.5;27;0;0;3.6;0;1;13
42;50;16.5;27;0;0;3.6;0;1;13
43;51;16.5;27;0;0;3.6;0;1;13
44;51;16.5;27;0;0;3.6;0;1;13
45;52;16.5;27;0;0;3.6;0;1;13
46;52;16.5;27;0;0;3.6;0;1;13
47;53;16.5;27;0;0;3.6;0;1;13
48;53;16.5;27;0;0;3.6;0;1;13
49;54;16.5;27;0;0;3.6;0;1;13
50;54;16.5;27;0;0;3.6;0;1;13
