1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;20;11.1;22;19.3;0;0;0;1;12
2;20;11.1;22;19.3;0;0;0;1;12
3;20;11.1;22;19.3;0;0;0;1;12
4;21;11.1;22;19.3;0;0;0;1;12
5;21;11.1;22;19.3;0;0;0;1;12
6;21;11.1;22;19.3;0;0;0;1;12
7;21;11.1;22;19.3;0;0;0;1;12
8;22;11.1;22;19.3;0;0;0;1;12
9;22;11.1;22;19.3;0;0;0;1;12
10;22;11.1;22;19.3;0;0;0;1;12
11;22;11.1;22;19.3;0;0;0;1;12
12;22;11.1;22;19.3;0;0;0;1;12
13;22;11.1;22;19.3;0;0;0;1;12
14;23;11.1;22;19.3;0;0;0;1;12
15;23;11.1;22;19.3;0;0;0;1;12
16;23;11.1;22;19.3;0;0;0;1;12
17;23;11.1;22;19.3;0;0;0;1;12
18;24;11.1;22;19.3;0;0;0;1;12
19;24;11.1;22;19.3;0;0;0;1;12
20;24;11.1;22;19.3;0;0;0;1;12
21;24;11.1;22;19.3;0;0;0;1;12
22;24;11.1;22;19.3;0;0;0;1;12
23;24;11.1;22;19.3;0;0;0;1;12
24;25;11.1;22;19.3;0;0;0;1;12
25;25;11.1;22;19.3;0;0;0;1;12
26;25;11.1;22;19.3;0;0;0;1;12
27;25;11.1;22;19.3;0;0;0;1;12
28;26;11.1;22;19.3;0;0;0;1;12
29;26;11.1;22;19.3;0;0;0;1;12
30;26;11.1;22;19.3;0;0;0;1;12
31;26;11.1;22;19.3;0;0;0;1;12
32;26;11.1;22;19.3;0;0;0;1;12
33;26;11.1;22;19.3;0;0;0;1;12
34;27;11.1;22;19.3;0;0;0;1;12
35;27;11.1;22;19.3;0;0;0;1;12
36;27;11.1;22;19.3;0;0;0;1;12
37;27;11.1;22;19.3;0;0;0;1;12
38;28;11.1;22;19.3;0;0;0;1;12
39;28;11.1;22;19.3;0;0;0;1;12
40;28;11.1;22;19.3;0;0;0;1;12
41;28;11.1;22;19.3;0;0;0;1;12
42;28;11.1;22;19.3;0;0;0;1;12
43;28;11.1;22;19.3;0;0;0;1;12
44;29;11.1;22;19.3;0;0;0;1;12
45;29;11.1;22;19.3;0;0;0;1;12
46;29;11.1;22;19.3;0;0;0;1;12
47;29;11.1;22;19.3;0;0;0;1;12
48;30;11.1;22;19.3;0;0;0;1;12
49;30;11.1;22;19.3;0;0;0;1;12
50;30;11.1;22;19.3;0;0;0;1;12
