1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;26;11.1;22;19.3;0;0;0;1;12
2;27;11.1;22;19.3;0;0;0;1;12
3;28;11.1;22;19.3;0;0;0;1;12
4;28;11.1;22;19.3;0;0;0;1;12
5;29;11.1;22;19.3;0;0;0;1;12
6;30;11.1;22;19.3;0;0;0;1;12
7;31;11.1;22;19.3;0;0;0;1;12
8;31;11.1;22;19.3;0;0;0;1;12
9;32;11.1;22;19.3;0;0;0;1;12
10;33;11.1;22;19.3;0;0;0;1;12
11;33;11.1;22;19.3;0;0;0;1;12
12;34;11.1;22;19.3;0;0;0;1;12
13;34;11.1;22;19.3;0;0;0;1;12
14;35;11.1;22;19.3;0;0;0;1;12
15;36;11.1;22;19.3;0;0;0;1;12
16;36;11.1;22;19.3;0;0;0;1;12
17;37;11.1;22;19.3;0;0;0;1;12
18;38;11.1;22;19.3;0;0;0;1;12
19;38;11.1;22;19.3;0;0;0;1;12
20;39;11.1;22;19.3;0;0;0;1;12
21;39;11.1;22;19.3;0;0;0;1;12
22;40;11.1;22;19.3;0;0;0;1;12
23;41;11.1;22;19.3;0;0;0;1;12
24;41;11.1;22;19.3;0;0;0;1;12
25;42;11.1;22;19.3;0;0;0;1;12
26;43;11.1;22;19.3;0;0;0;1;12
27;44;11.1;22;19.3;0;0;0;1;12
28;44;11.1;22;19.3;0;0;0;1;12
29;45;11.1;22;19.3;0;0;0;1;12
30;46;11.1;22;19.3;0;0;0;1;12
31;46;11.1;22;19.3;0;0;0;1;12
32;47;11.1;22;19.3;0;0;0;1;12
33;48;11.1;22;19.3;0;0;0;1;12
34;48;11.1;22;19.3;0;0;0;1;12
35;49;11.1;22;19.3;0;0;0;1;12
36;50;11.1;22;19.3;0;0;0;1;12
37;51;11.1;22;19.3;0;0;0;1;12
38;51;11.1;22;19.3;0;0;0;1;12
39;52;11.1;22;19.3;0;0;0;1;12
40;53;11.1;22;19.3;0;0;0;1;12
41;53;11.1;22;19.3;0;0;0;1;12
42;54;11.1;22;19.3;0;0;0;1;12
43;54;11.1;22;19.3;0;0;0;1;12
44;55;11.1;22;19.3;0;0;0;1;12
45;56;11.1;22;19.3;0;0;0;1;12
46;56;11.1;22;19.3;0;0;0;1;12
47;57;11.1;22;19.3;0;0;0;1;12
48;58;11.1;22;19.3;0;0;0;1;12
49;58;11.1;22;19.3;0;0;0;1;12
50;59;11.1;22;19.3;0;0;0;1;12
