1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,46,11.1,22,19.3,0,0,0,0,1,12
2,47,11.1,22,19.3,0,0,0,0,1,12
3,47,11.1,22,19.3,0,0,0,0,1,12
4,48,11.1,22,19.3,0,0,0,0,1,12
5,48,11.1,22,19.3,0,0,0,0,1,12
6,49,11.1,22,19.3,0,0,0,0,1,12
7,49,11.1,22,19.3,0,0,0,0,1,12
8,50,11.1,22,19.3,0,0,0,0,1,12
9,50,11.1,22,19.3,0,0,0,0,1,12
10,51,11.1,22,19.3,0,0,0,0,1,12
11,51,11.1,22,19.3,0,0,0,0,1,12
12,52,11.1,22,19.3,0,0,0,0,1,12
13,52,11.1,22,19.3,0,0,0,0,1,12
14,53,11.1,22,19.3,0,0,0,0,1,12
15,53,11.1,22,19.3,0,0,0,0,1,12
16,54,11.1,22,19.3,0,0,0,0,1,12
17,54,11.1,22,19.3,0,0,0,0,1,12
18,55,11.1,22,19.3,0,0,0,0,1,12
19,55,11.1,22,19.3,0,0,0,0,1,12
20,56,11.1,22,19.3,0,0,0,0,1,12
21,56,11.1,22,19.3,0,0,0,0,1,12
22,56,11.1,22,19.3,0,0,0,0,1,12
23,57,11.1,22,19.3,0,0,0,0,1,12
24,57,11.1,22,19.3,0,0,0,0,1,12
25,58,11.1,22,19.3,0,0,0,0,1,12
26,58,11.1,22,19.3,0,0,0,0,1,12
27,59,11.1,22,19.3,0,0,0,0,1,12
28,59,11.1,22,19.3,0,0,0,0,1,12
29,60,11.1,22,19.3,0,0,0,0,1,12
30,60,11.1,22,19.3,0,0,0,0,1,12
31,60,11.1,22,19.3,0,0,0,0,1,12
32,61,11.1,22,19.3,0,0,0,0,1,12
33,61,11.1,22,19.3,0,0,0,0,1,12
34,62,11.1,22,19.3,0,0,0,0,1,12
35,62,11.1,22,19.3,0,0,0,0,1,12
36,63,11.1,22,19.3,0,0,0,0,1,12
37,63,11.1,22,19.3,0,0,0,0,1,12
38,64,11.1,22,19.3,0,0,0,0,1,12
39,64,11.1,22,19.3,0,0,0,0,1,12
40,65,11.1,22,19.3,0,0,0,0,1,12
41,65,11.1,22,19.3,0,0,0,0,1,12
42,65,11.1,22,19.3,0,0,0,0,1,12
43,66,11.1,22,19.3,0,0,0,0,1,12
44,66,11.1,22,19.3,0,0,0,0,1,12
45,67,11.1,22,19.3,0,0,0,0,1,12
46,67,11.1,22,19.3,0,0,0,0,1,12
47,68,11.1,22,19.3,0,0,0,0,1,12
48,68,11.1,22,19.3,0,0,0,0,1,12
49,69,11.1,22,19.3,0,0,0,0,1,12
50,69,11.1,22,19.3,0,0,0,0,1,12
