1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;0;11.1;0;55;0;0;0;1;7
2;0;11.1;0;55;0;0;0;1;7
3;-1;11.1;0;55;0;0;0;1;7
4;-1;11.1;0;55;0;0;0;1;7
5;-1;11.1;0;55;0;0;0;1;7
6;-1;11.1;0;55;0;0;0;1;7
7;-1;11.1;0;55;0;0;0;1;7
8;-1;11.1;0;55;0;0;0;1;7
9;-1;11.1;0;55;0;0;0;1;7
10;-1;11.1;0;55;0;0;0;1;7
11;-1;11.1;0;55;0;0;0;1;7
12;-1;11.1;0;55;0;0;0;1;7
13;-1;11.1;0;55;0;0;0;1;7
14;-1;11.1;0;55;0;0;0;1;7
15;-1;11.1;0;55;0;0;0;1;7
16;-1;11.1;0;55;0;0;0;1;7
17;-1;11.1;0;55;0;0;0;1;7
18;-1;11.1;0;55;0;0;0;1;7
19;-1;11.1;0;55;0;0;0;1;7
20;-1;11.1;0;55;0;0;0;1;7
21;-1;11.1;0;55;0;0;0;1;7
22;-1;11.1;0;55;0;0;0;1;7
23;-1;11.1;0;55;0;0;0;1;7
24;-1;11.1;0;55;0;0;0;1;7
25;-1;11.1;0;55;0;0;0;1;7
26;-1;11.1;0;55;0;0;0;1;7
27;-1;11.1;0;55;0;0;0;1;7
28;-1;11.1;0;55;0;0;0;1;7
29;-1;11.1;0;55;0;0;0;1;7
30;-1;11.1;0;55;0;0;0;1;7
31;-1;11.1;0;55;0;0;0;1;7
32;-1;11.1;0;55;0;0;0;1;7
33;-1;11.1;0;55;0;0;0;1;7
34;-1;11.1;0;55;0;0;0;1;7
35;-1;11.1;0;55;0;0;0;1;7
36;-1;11.1;0;55;0;0;0;1;7
37;-1;11.1;0;55;0;0;0;1;7
38;-1;11.1;0;55;0;0;0;1;7
39;-1;11.1;0;55;0;0;0;1;7
40;-1;11.1;0;55;0;0;0;1;7
41;-1;11.1;0;55;0;0;0;1;7
42;-1;11.1;0;55;0;0;0;1;7
43;-1;11.1;0;55;0;0;0;1;7
44;-1;11.1;0;55;0;0;0;1;7
45;-1;11.1;0;55;0;0;0;1;7
46;-1;11.1;0;55;0;0;0;1;7
47;-1;11.1;0;55;0;0;0;1;7
48;-1;11.1;0;55;0;0;0;1;7
49;-1;11.1;0;55;0;0;0;1;7
50;-1;11.1;0;55;0;0;0;1;7
