1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;38;10;25;38.5;0;0;3;15;0
2;39;10;25;38.5;0;0;3;15;0
3;40;10;25;38.5;0;0;3;15;0
4;41;10;25;38.5;0;0;3;15;0
5;42;10;25;38.5;0;0;3;15;0
6;42;10;25;38.5;0;0;3;15;0
7;43;10;25;38.5;0;0;3;15;0
8;44;10;25;38.5;0;0;3;15;0
9;45;10;25;38.5;0;0;3;15;0
10;46;10;25;38.5;0;0;3;15;0
11;46;10;25;38.5;0;0;3;15;0
12;47;10;25;38.5;0;0;3;15;0
13;48;10;25;38.5;0;0;3;15;0
14;49;10;25;38.5;0;0;3;15;0
15;50;10;25;38.5;0;0;3;15;0
16;51;10;25;38.5;0;0;3;15;0
17;52;10;25;38.5;0;0;3;15;0
18;53;10;25;38.5;0;0;3;15;0
19;54;10;25;38.5;0;0;3;15;0
20;55;10;25;38.5;0;0;3;15;0
21;55;10;25;38.5;0;0;3;15;0
22;56;10;25;38.5;0;0;3;15;0
23;57;10;25;38.5;0;0;3;15;0
24;58;10;25;38.5;0;0;3;15;0
25;59;10;25;38.5;0;0;3;15;0
26;59;10;25;38.5;0;0;3;15;0
27;60;10;25;38.5;0;0;3;15;0
28;61;10;25;38.5;0;0;3;15;0
29;62;10;25;38.5;0;0;3;15;0
30;63;10;25;38.5;0;0;3;15;0
31;63;10;25;38.5;0;0;3;15;0
32;64;10;25;38.5;0;0;3;15;0
33;65;10;25;38.5;0;0;3;15;0
34;66;10;25;38.5;0;0;3;15;0
35;67;10;25;38.5;0;0;3;15;0
36;68;10;25;38.5;0;0;3;15;0
37;69;10;25;38.5;0;0;3;15;0
38;70;10;25;38.5;0;0;3;15;0
39;71;10;25;38.5;0;0;3;15;0
40;72;10;25;38.5;0;0;3;15;0
41;72;10;25;38.5;0;0;3;15;0
42;73;10;25;38.5;0;0;3;15;0
43;74;10;25;38.5;0;0;3;15;0
44;74;10;25;38.5;0;0;3;15;0
45;75;10;25;38.5;0;0;3;15;0
46;76;10;25;38.5;0;0;3;15;0
47;77;10;25;38.5;0;0;3;15;0
48;77;10;25;38.5;0;0;3;15;0
49;78;10;25;38.5;0;0;3;15;0
50;79;10;25;38.5;0;0;3;15;0
