1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;32;10;25;38.5;0;0;3;15;0
2;33;10;25;38.5;0;0;3;15;0
3;34;10;25;38.5;0;0;3;15;0
4;34;10;25;38.5;0;0;3;15;0
5;35;10;25;38.5;0;0;3;15;0
6;36;10;25;38.5;0;0;3;15;0
7;37;10;25;38.5;0;0;3;15;0
8;37;10;25;38.5;0;0;3;15;0
9;38;10;25;38.5;0;0;3;15;0
10;39;10;25;38.5;0;0;3;15;0
11;39;10;25;38.5;0;0;3;15;0
12;40;10;25;38.5;0;0;3;15;0
13;41;10;25;38.5;0;0;3;15;0
14;42;10;25;38.5;0;0;3;15;0
15;43;10;25;38.5;0;0;3;15;0
16;43;10;25;38.5;0;0;3;15;0
17;44;10;25;38.5;0;0;3;15;0
18;45;10;25;38.5;0;0;3;15;0
19;46;10;25;38.5;0;0;3;15;0
20;47;10;25;38.5;0;0;3;15;0
21;47;10;25;38.5;0;0;3;15;0
22;48;10;25;38.5;0;0;3;15;0
23;49;10;25;38.5;0;0;3;15;0
24;50;10;25;38.5;0;0;3;15;0
25;51;10;25;38.5;0;0;3;15;0
26;51;10;25;38.5;0;0;3;15;0
27;52;10;25;38.5;0;0;3;15;0
28;53;10;25;38.5;0;0;3;15;0
29;54;10;25;38.5;0;0;3;15;0
30;55;10;25;38.5;0;0;3;15;0
31;55;10;25;38.5;0;0;3;15;0
32;56;10;25;38.5;0;0;3;15;0
33;57;10;25;38.5;0;0;3;15;0
34;57;10;25;38.5;0;0;3;15;0
35;58;10;25;38.5;0;0;3;15;0
36;59;10;25;38.5;0;0;3;15;0
37;60;10;25;38.5;0;0;3;15;0
38;60;10;25;38.5;0;0;3;15;0
39;61;10;25;38.5;0;0;3;15;0
40;62;10;25;38.5;0;0;3;15;0
41;62;10;25;38.5;0;0;3;15;0
42;63;10;25;38.5;0;0;3;15;0
43;64;10;25;38.5;0;0;3;15;0
44;64;10;25;38.5;0;0;3;15;0
45;65;10;25;38.5;0;0;3;15;0
46;66;10;25;38.5;0;0;3;15;0
47;67;10;25;38.5;0;0;3;15;0
48;67;10;25;38.5;0;0;3;15;0
49;68;10;25;38.5;0;0;3;15;0
50;69;10;25;38.5;0;0;3;15;0
