1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;27;10;25;38.5;0;0;3;15;0
2;28;10;25;38.5;0;0;3;15;0
3;29;10;25;38.5;0;0;3;15;0
4;29;10;25;38.5;0;0;3;15;0
5;30;10;25;38.5;0;0;3;15;0
6;31;10;25;38.5;0;0;3;15;0
7;32;10;25;38.5;0;0;3;15;0
8;32;10;25;38.5;0;0;3;15;0
9;33;10;25;38.5;0;0;3;15;0
10;34;10;25;38.5;0;0;3;15;0
11;34;10;25;38.5;0;0;3;15;0
12;35;10;25;38.5;0;0;3;15;0
13;35;10;25;38.5;0;0;3;15;0
14;36;10;25;38.5;0;0;3;15;0
15;37;10;25;38.5;0;0;3;15;0
16;37;10;25;38.5;0;0;3;15;0
17;38;10;25;38.5;0;0;3;15;0
18;39;10;25;38.5;0;0;3;15;0
19;39;10;25;38.5;0;0;3;15;0
20;40;10;25;38.5;0;0;3;15;0
21;40;10;25;38.5;0;0;3;15;0
22;41;10;25;38.5;0;0;3;15;0
23;42;10;25;38.5;0;0;3;15;0
24;42;10;25;38.5;0;0;3;15;0
25;43;10;25;38.5;0;0;3;15;0
26;44;10;25;38.5;0;0;3;15;0
27;45;10;25;38.5;0;0;3;15;0
28;45;10;25;38.5;0;0;3;15;0
29;46;10;25;38.5;0;0;3;15;0
30;47;10;25;38.5;0;0;3;15;0
31;47;10;25;38.5;0;0;3;15;0
32;48;10;25;38.5;0;0;3;15;0
33;49;10;25;38.5;0;0;3;15;0
34;49;10;25;38.5;0;0;3;15;0
35;50;10;25;38.5;0;0;3;15;0
36;51;10;25;38.5;0;0;3;15;0
37;52;10;25;38.5;0;0;3;15;0
38;52;10;25;38.5;0;0;3;15;0
39;53;10;25;38.5;0;0;3;15;0
40;54;10;25;38.5;0;0;3;15;0
41;54;10;25;38.5;0;0;3;15;0
42;54;10;25;38.5;0;0;3;15;0
43;55;10;25;38.5;0;0;3;15;0
44;55;10;25;38.5;0;0;3;15;0
45;56;10;25;38.5;0;0;3;15;0
46;56;10;25;38.5;0;0;3;15;0
47;57;10;25;38.5;0;0;3;15;0
48;57;10;25;38.5;0;0;3;15;0
49;58;10;25;38.5;0;0;3;15;0
50;58;10;25;38.5;0;0;3;15;0
