1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;694;11.1;12;0;10;2.2;0;1;0
2;700;11.1;12;0;10;2.2;0;1;0
3;706;11.1;12;0;10;2.2;0;1;0
4;713;11.1;12;0;10;2.2;0;1;0
5;719;11.1;12;0;10;2.2;0;1;0
6;725;11.1;12;0;10;2.2;0;1;0
7;731;11.1;12;0;10;2.2;0;1;0
8;738;11.1;12;0;10;2.2;0;1;0
9;744;11.1;12;0;10;2.2;0;1;0
10;750;11.1;12;0;10;2.2;0;1;0
11;756;11.1;12;0;10;2.2;0;1;0
12;762;11.1;12;0;10;2.2;0;1;0
13;768;11.1;12;0;10;2.2;0;1;0
14;775;11.1;12;0;10;2.2;0;1;0
15;781;11.1;12;0;10;2.2;0;1;0
16;787;11.1;12;0;10;2.2;0;1;0
17;793;11.1;12;0;10;2.2;0;1;0
18;800;11.1;12;0;10;2.2;0;1;0
19;806;11.1;12;0;10;2.2;0;1;0
20;812;11.1;12;0;10;2.2;0;1;0
21;817;11.1;12;0;10;2.2;0;1;0
22;823;11.1;12;0;10;2.2;0;1;0
23;830;11.1;12;0;10;2.2;0;1;0
24;836;11.1;12;0;10;2.2;0;1;0
25;842;11.1;12;0;10;2.2;0;1;0
26;849;11.1;12;0;10;2.2;0;1;0
27;855;11.1;12;0;10;2.2;0;1;0
28;861;11.1;12;0;10;2.2;0;1;0
29;868;11.1;12;0;10;2.2;0;1;0
30;874;11.1;12;0;10;2.2;0;1;0
31;879;11.1;12;0;10;2.2;0;1;0
32;885;11.1;12;0;10;2.2;0;1;0
33;891;11.1;12;0;10;2.2;0;1;0
34;898;11.1;12;0;10;2.2;0;1;0
35;904;11.1;12;0;10;2.2;0;1;0
36;910;11.1;12;0;10;2.2;0;1;0
37;916;11.1;12;0;10;2.2;0;1;0
38;923;11.1;12;0;10;2.2;0;1;0
39;929;11.1;12;0;10;2.2;0;1;0
40;935;11.1;12;0;10;2.2;0;1;0
41;941;11.1;12;0;10;2.2;0;1;0
42;948;11.1;12;0;10;2.2;0;1;0
43;955;11.1;12;0;10;2.2;0;1;0
44;962;11.1;12;0;10;2.2;0;1;0
45;969;11.1;12;0;10;2.2;0;1;0
46;977;11.1;12;0;10;2.2;0;1;0
47;984;11.1;12;0;10;2.2;0;1;0
48;991;11.1;12;0;10;2.2;0;1;0
49;998;11.1;12;0;10;2.2;0;1;0
50;1005;11.1;12;0;10;2.2;0;1;0
