1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,319,11.1,12,0,10,2,2.2,0,1,0
2,324,11.1,12,0,10,2,2.2,0,1,0
3,329,11.1,12,0,10,2,2.2,0,1,0
4,334,11.1,12,0,10,2,2.2,0,1,0
5,339,11.1,12,0,10,2,2.2,0,1,0
6,343,11.1,12,0,10,2,2.2,0,1,0
7,348,11.1,12,0,10,2,2.2,0,1,0
8,353,11.1,12,0,10,2,2.2,0,1,0
9,358,11.1,12,0,10,2,2.2,0,1,0
10,363,11.1,12,0,10,2,2.2,0,1,0
11,368,11.1,12,0,10,2,2.2,0,1,0
12,373,11.1,12,0,10,2,2.2,0,1,0
13,378,11.1,12,0,10,2,2.2,0,1,0
14,383,11.1,12,0,10,2,2.2,0,1,0
15,388,11.1,12,0,10,2,2.2,0,1,0
16,393,11.1,12,0,10,2,2.2,0,1,0
17,398,11.1,12,0,10,2,2.2,0,1,0
18,403,11.1,12,0,10,2,2.2,0,1,0
19,408,11.1,12,0,10,2,2.2,0,1,0
20,413,11.1,12,0,10,2,2.2,0,1,0
21,418,11.1,12,0,10,2,2.2,0,1,0
22,423,11.1,12,0,10,2,2.2,0,1,0
23,428,11.1,12,0,10,2,2.2,0,1,0
24,433,11.1,12,0,10,2,2.2,0,1,0
25,438,11.1,12,0,10,2,2.2,0,1,0
26,442,11.1,12,0,10,2,2.2,0,1,0
27,447,11.1,12,0,10,2,2.2,0,1,0
28,452,11.1,12,0,10,2,2.2,0,1,0
29,457,11.1,12,0,10,2,2.2,0,1,0
30,462,11.1,12,0,10,2,2.2,0,1,0
31,467,11.1,12,0,10,2,2.2,0,1,0
32,472,11.1,12,0,10,2,2.2,0,1,0
33,477,11.1,12,0,10,2,2.2,0,1,0
34,482,11.1,12,0,10,2,2.2,0,1,0
35,487,11.1,12,0,10,2,2.2,0,1,0
36,492,11.1,12,0,10,2,2.2,0,1,0
37,497,11.1,12,0,10,2,2.2,0,1,0
38,502,11.1,12,0,10,2,2.2,0,1,0
39,507,11.1,12,0,10,2,2.2,0,1,0
40,512,11.1,12,0,10,2,2.2,0,1,0
41,516,11.1,12,0,10,2,2.2,0,1,0
42,521,11.1,12,0,10,2,2.2,0,1,0
43,527,11.1,12,0,10,2,2.2,0,1,0
44,532,11.1,12,0,10,2,2.2,0,1,0
45,537,11.1,12,0,10,2,2.2,0,1,0
46,543,11.1,12,0,10,2,2.2,0,1,0
47,548,11.1,12,0,10,2,2.2,0,1,0
48,553,11.1,12,0,10,2,2.2,0,1,0
49,559,11.1,12,0,10,2,2.2,0,1,0
50,564,11.1,12,0,10,2,2.2,0,1,0
