1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;313;10;35;0;0;3;0;1;0
2;321;10;35;0;0;3;0;1;0
3;329;10;35;0;0;3;0;1;0
4;337;10;35;0;0;3;0;1;0
5;345;10;35;0;0;3;0;1;0
6;352;10;35;0;0;3;0;1;0
7;360;10;35;0;0;3;0;1;0
8;368;10;35;0;0;3;0;1;0
9;376;10;35;0;0;3;0;1;0
10;384;10;35;0;0;3;0;1;0
11;392;10;35;0;0;3;0;1;0
12;400;10;35;0;0;3;0;1;0
13;408;10;35;0;0;3;0;1;0
14;416;10;35;0;0;3;0;1;0
15;424;10;35;0;0;3;0;1;0
16;431;10;35;0;0;3;0;1;0
17;439;10;35;0;0;3;0;1;0
18;447;10;35;0;0;3;0;1;0
19;455;10;35;0;0;3;0;1;0
20;463;10;35;0;0;3;0;1;0
21;471;10;35;0;0;3;0;1;0
22;479;10;35;0;0;3;0;1;0
23;487;10;35;0;0;3;0;1;0
24;495;10;35;0;0;3;0;1;0
25;503;10;35;0;0;3;0;1;0
26;510;10;35;0;0;3;0;1;0
27;518;10;35;0;0;3;0;1;0
28;526;10;35;0;0;3;0;1;0
29;534;10;35;0;0;3;0;1;0
30;542;10;35;0;0;3;0;1;0
31;550;10;35;0;0;3;0;1;0
32;558;10;35;0;0;3;0;1;0
33;566;10;35;0;0;3;0;1;0
34;574;10;35;0;0;3;0;1;0
35;582;10;35;0;0;3;0;1;0
36;589;10;35;0;0;3;0;1;0
37;597;10;35;0;0;3;0;1;0
38;605;10;35;0;0;3;0;1;0
39;613;10;35;0;0;3;0;1;0
40;621;10;35;0;0;3;0;1;0
41;628;10;35;0;0;3;0;1;0
42;637;10;35;0;0;3;0;1;0
43;646;10;35;0;0;3;0;1;0
44;655;10;35;0;0;3;0;1;0
45;664;10;35;0;0;3;0;1;0
46;672;10;35;0;0;3;0;1;0
47;681;10;35;0;0;3;0;1;0
48;690;10;35;0;0;3;0;1;0
49;699;10;35;0;0;3;0;1;0
50;708;10;35;0;0;3;0;1;0
