1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,270,10,35,0,0,0,3,0,1,0
2,274,10,35,0,0,0,3,0,1,0
3,278,10,35,0,0,0,3,0,1,0
4,283,10,35,0,0,0,3,0,1,0
5,287,10,35,0,0,0,3,0,1,0
6,291,10,35,0,0,0,3,0,1,0
7,295,10,35,0,0,0,3,0,1,0
8,300,10,35,0,0,0,3,0,1,0
9,304,10,35,0,0,0,3,0,1,0
10,308,10,35,0,0,0,3,0,1,0
11,312,10,35,0,0,0,3,0,1,0
12,316,10,35,0,0,0,3,0,1,0
13,320,10,35,0,0,0,3,0,1,0
14,325,10,35,0,0,0,3,0,1,0
15,329,10,35,0,0,0,3,0,1,0
16,333,10,35,0,0,0,3,0,1,0
17,337,10,35,0,0,0,3,0,1,0
18,342,10,35,0,0,0,3,0,1,0
19,346,10,35,0,0,0,3,0,1,0
20,350,10,35,0,0,0,3,0,1,0
21,354,10,35,0,0,0,3,0,1,0
22,358,10,35,0,0,0,3,0,1,0
23,362,10,35,0,0,0,3,0,1,0
24,367,10,35,0,0,0,3,0,1,0
25,371,10,35,0,0,0,3,0,1,0
26,375,10,35,0,0,0,3,0,1,0
27,379,10,35,0,0,0,3,0,1,0
28,384,10,35,0,0,0,3,0,1,0
29,388,10,35,0,0,0,3,0,1,0
30,392,10,35,0,0,0,3,0,1,0
31,396,10,35,0,0,0,3,0,1,0
32,400,10,35,0,0,0,3,0,1,0
33,404,10,35,0,0,0,3,0,1,0
34,409,10,35,0,0,0,3,0,1,0
35,413,10,35,0,0,0,3,0,1,0
36,417,10,35,0,0,0,3,0,1,0
37,421,10,35,0,0,0,3,0,1,0
38,426,10,35,0,0,0,3,0,1,0
39,430,10,35,0,0,0,3,0,1,0
40,434,10,35,0,0,0,3,0,1,0
41,437,10,35,0,0,0,3,0,1,0
42,441,10,35,0,0,0,3,0,1,0
43,446,10,35,0,0,0,3,0,1,0
44,450,10,35,0,0,0,3,0,1,0
45,455,10,35,0,0,0,3,0,1,0
46,459,10,35,0,0,0,3,0,1,0
47,464,10,35,0,0,0,3,0,1,0
48,468,10,35,0,0,0,3,0,1,0
49,473,10,35,0,0,0,3,0,1,0
50,477,10,35,0,0,0,3,0,1,0
