1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;1536;15;7;0;0;2;0;1;0
2;1550;15;7;0;0;2;0;1;0
3;1564;15;7;0;0;2;0;1;0
4;1577;15;7;0;0;2;0;1;0
5;1591;15;7;0;0;2;0;1;0
6;1605;15;7;0;0;2;0;1;0
7;1619;15;7;0;0;2;0;1;0
8;1632;15;7;0;0;2;0;1;0
9;1646;15;7;0;0;2;0;1;0
10;1660;15;7;0;0;2;0;1;0
11;1673;15;7;0;0;2;0;1;0
12;1687;15;7;0;0;2;0;1;0
13;1701;15;7;0;0;2;0;1;0
14;1715;15;7;0;0;2;0;1;0
15;1729;15;7;0;0;2;0;1;0
16;1742;15;7;0;0;2;0;1;0
17;1756;15;7;0;0;2;0;1;0
18;1770;15;7;0;0;2;0;1;0
19;1784;15;7;0;0;2;0;1;0
20;1798;15;7;0;0;2;0;1;0
21;1811;15;7;0;0;2;0;1;0
22;1825;15;7;0;0;2;0;1;0
23;1839;15;7;0;0;2;0;1;0
24;1853;15;7;0;0;2;0;1;0
25;1867;15;7;0;0;2;0;1;0
26;1880;15;7;0;0;2;0;1;0
27;1894;15;7;0;0;2;0;1;0
28;1908;15;7;0;0;2;0;1;0
29;1922;15;7;0;0;2;0;1;0
30;1936;15;7;0;0;2;0;1;0
31;1949;15;7;0;0;2;0;1;0
32;1963;15;7;0;0;2;0;1;0
33;1977;15;7;0;0;2;0;1;0
34;1990;15;7;0;0;2;0;1;0
35;2004;15;7;0;0;2;0;1;0
36;2018;15;7;0;0;2;0;1;0
37;2032;15;7;0;0;2;0;1;0
38;2045;15;7;0;0;2;0;1;0
39;2059;15;7;0;0;2;0;1;0
40;2073;15;7;0;0;2;0;1;0
41;2087;15;7;0;0;2;0;1;0
42;2102;15;7;0;0;2;0;1;0
43;2117;15;7;0;0;2;0;1;0
44;2132;15;7;0;0;2;0;1;0
45;2147;15;7;0;0;2;0;1;0
46;2163;15;7;0;0;2;0;1;0
47;2178;15;7;0;0;2;0;1;0
48;2193;15;7;0;0;2;0;1;0
49;2208;15;7;0;0;2;0;1;0
50;2223;15;7;0;0;2;0;1;0
