1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;748;15;7;0;0;2;0;1;0
2;763;15;7;0;0;2;0;1;0
3;779;15;7;0;0;2;0;1;0
4;794;15;7;0;0;2;0;1;0
5;810;15;7;0;0;2;0;1;0
6;825;15;7;0;0;2;0;1;0
7;841;15;7;0;0;2;0;1;0
8;856;15;7;0;0;2;0;1;0
9;872;15;7;0;0;2;0;1;0
10;887;15;7;0;0;2;0;1;0
11;902;15;7;0;0;2;0;1;0
12;917;15;7;0;0;2;0;1;0
13;933;15;7;0;0;2;0;1;0
14;948;15;7;0;0;2;0;1;0
15;964;15;7;0;0;2;0;1;0
16;979;15;7;0;0;2;0;1;0
17;995;15;7;0;0;2;0;1;0
18;1010;15;7;0;0;2;0;1;0
19;1026;15;7;0;0;2;0;1;0
20;1041;15;7;0;0;2;0;1;0
21;1056;15;7;0;0;2;0;1;0
22;1071;15;7;0;0;2;0;1;0
23;1087;15;7;0;0;2;0;1;0
24;1102;15;7;0;0;2;0;1;0
25;1118;15;7;0;0;2;0;1;0
26;1133;15;7;0;0;2;0;1;0
27;1149;15;7;0;0;2;0;1;0
28;1164;15;7;0;0;2;0;1;0
29;1180;15;7;0;0;2;0;1;0
30;1195;15;7;0;0;2;0;1;0
31;1210;15;7;0;0;2;0;1;0
32;1225;15;7;0;0;2;0;1;0
33;1241;15;7;0;0;2;0;1;0
34;1256;15;7;0;0;2;0;1;0
35;1272;15;7;0;0;2;0;1;0
36;1287;15;7;0;0;2;0;1;0
37;1303;15;7;0;0;2;0;1;0
38;1318;15;7;0;0;2;0;1;0
39;1334;15;7;0;0;2;0;1;0
40;1349;15;7;0;0;2;0;1;0
41;1364;15;7;0;0;2;0;1;0
42;1381;15;7;0;0;2;0;1;0
43;1398;15;7;0;0;2;0;1;0
44;1416;15;7;0;0;2;0;1;0
45;1433;15;7;0;0;2;0;1;0
46;1450;15;7;0;0;2;0;1;0
47;1467;15;7;0;0;2;0;1;0
48;1485;15;7;0;0;2;0;1;0
49;1502;15;7;0;0;2;0;1;0
50;1519;15;7;0;0;2;0;1;0
