1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,705,15,7,0,0,0,2,0,1,0
2,716,15,7,0,0,0,2,0,1,0
3,727,15,7,0,0,0,2,0,1,0
4,738,15,7,0,0,0,2,0,1,0
5,749,15,7,0,0,0,2,0,1,0
6,759,15,7,0,0,0,2,0,1,0
7,770,15,7,0,0,0,2,0,1,0
8,781,15,7,0,0,0,2,0,1,0
9,792,15,7,0,0,0,2,0,1,0
10,803,15,7,0,0,0,2,0,1,0
11,814,15,7,0,0,0,2,0,1,0
12,825,15,7,0,0,0,2,0,1,0
13,836,15,7,0,0,0,2,0,1,0
14,847,15,7,0,0,0,2,0,1,0
15,858,15,7,0,0,0,2,0,1,0
16,868,15,7,0,0,0,2,0,1,0
17,879,15,7,0,0,0,2,0,1,0
18,890,15,7,0,0,0,2,0,1,0
19,901,15,7,0,0,0,2,0,1,0
20,912,15,7,0,0,0,2,0,1,0
21,922,15,7,0,0,0,2,0,1,0
22,933,15,7,0,0,0,2,0,1,0
23,944,15,7,0,0,0,2,0,1,0
24,955,15,7,0,0,0,2,0,1,0
25,966,15,7,0,0,0,2,0,1,0
26,976,15,7,0,0,0,2,0,1,0
27,987,15,7,0,0,0,2,0,1,0
28,998,15,7,0,0,0,2,0,1,0
29,1009,15,7,0,0,0,2,0,1,0
30,1020,15,7,0,0,0,2,0,1,0
31,1030,15,7,0,0,0,2,0,1,0
32,1041,15,7,0,0,0,2,0,1,0
33,1052,15,7,0,0,0,2,0,1,0
34,1063,15,7,0,0,0,2,0,1,0
35,1074,15,7,0,0,0,2,0,1,0
36,1084,15,7,0,0,0,2,0,1,0
37,1095,15,7,0,0,0,2,0,1,0
38,1106,15,7,0,0,0,2,0,1,0
39,1117,15,7,0,0,0,2,0,1,0
40,1128,15,7,0,0,0,2,0,1,0
41,1139,15,7,0,0,0,2,0,1,0
42,1151,15,7,0,0,0,2,0,1,0
43,1163,15,7,0,0,0,2,0,1,0
44,1175,15,7,0,0,0,2,0,1,0
45,1187,15,7,0,0,0,2,0,1,0
46,1199,15,7,0,0,0,2,0,1,0
47,1211,15,7,0,0,0,2,0,1,0
48,1223,15,7,0,0,0,2,0,1,0
49,1235,15,7,0,0,0,2,0,1,0
50,1247,15,7,0,0,0,2,0,1,0
